,domain,instance,planner,type,solved,SAT,time,memory,timeout,memoryout,policysize
3667,tireworld-truck,p50,CASP-KB,asp,True,True,462.5837813047692,161.30859375,False,False,20
3677,tireworld-truck,p20,CASP-KB,asp,True,True,3.708944017067552,1.3046875,False,False,14
3687,tireworld-truck,p35,CASP-KB,asp,True,True,3.0913901031017303,0.86328125,False,False,15
3697,tireworld-truck,p48,CASP-KB,asp,True,True,240.8159529929981,144.54296875,False,False,18
3707,tireworld-truck,p22,CASP-KB,asp,True,True,2.9951309841126204,0.93359375,False,False,12
3717,tireworld-truck,p29,CASP-KB,asp,True,True,109.82179648196325,127.578125,False,False,17
3727,tireworld-truck,p25,CASP-KB,asp,True,True,3.135646136943251,0.7265625,False,False,12
3737,tireworld-truck,p44,CASP-KB,asp,True,True,13.090313877910376,0.6953125,False,False,15
3747,tireworld-truck,p58,CASP-KB,asp,True,True,2.3354289080016315,0.82421875,False,False,14
3757,tireworld-truck,p06,CASP-KB,asp,True,True,1.331942757125944,0.953125,False,False,9
3767,tireworld-truck,p66,CASP-KB,asp,True,True,24.27457533404231,0.80859375,False,False,16
3777,tireworld-truck,p01,CASP-KB,asp,True,True,1.2057905457913876,1.08984375,False,False,11
3787,tireworld-truck,p17,CASP-KB,asp,True,True,1.3462882339954376,0.7265625,False,False,12
3797,tireworld-truck,p13,CASP-KB,asp,True,True,5.716751648113132,1.13671875,False,False,14
3807,tireworld-truck,p16,CASP-KB,asp,True,True,1.0406553130596876,1.2578125,False,False,10
3817,tireworld-truck,p72,CASP-KB,asp,True,True,1472.2088182480074,215.640625,False,False,23
3827,tireworld-truck,p14,CASP-KB,asp,True,True,5.587338863871992,1.3046875,False,False,14
3837,tireworld-truck,p69,CASP-KB,asp,True,True,62.15260886726901,140.98828125,False,False,17
3847,tireworld-truck,p03,CASP-KB,asp,True,True,1.2594999810680747,1.1953125,False,False,9
3857,tireworld-truck,p18,CASP-KB,asp,True,True,1.8523883810266848,1.12109375,False,False,12
3867,tireworld-truck,p26,CASP-KB,asp,True,True,22.045398998074237,0.72265625,False,False,17
3877,tireworld-truck,p30,CASP-KB,asp,True,True,118.65746542671695,134.23828125,False,False,17
3887,tireworld-truck,p27,CASP-KB,asp,True,True,9.688816942740232,1.2265625,False,False,15
3897,tireworld-truck,p52,CASP-KB,asp,True,True,382.7970793102868,174.85546875,False,False,20
3907,tireworld-truck,p42,CASP-KB,asp,True,True,23.98998691979796,0.8125,False,False,17
3917,tireworld-truck,p36,CASP-KB,asp,True,True,4.7698437590152025,0.9375,False,False,15
3927,tireworld-truck,p56,CASP-KB,asp,True,True,388.6186552853324,171.41796875,False,False,18
3937,tireworld-truck,p63,CASP-KB,asp,True,True,19.032587596215308,1.2578125,False,False,16
3947,tireworld-truck,p41,CASP-KB,asp,True,True,10.66460866620764,1.2890625,False,False,15
3957,tireworld-truck,p49,CASP-KB,asp,True,True,97.87905252166092,140.0859375,False,False,18
3967,tireworld-truck,p57,CASP-KB,asp,True,True,124.56133246282116,166.66015625,False,False,18
3977,tireworld-truck,p24,CASP-KB,asp,True,True,5.277374824043363,1.16015625,False,False,14
3987,tireworld-truck,p07,CASP-KB,asp,True,True,1.356546876952052,0.890625,False,False,9
3997,tireworld-truck,p09,CASP-KB,asp,True,True,2.3922115634195507,0.88671875,False,False,11
4007,tireworld-truck,p73,CASP-KB,asp,True,True,550.3906504218467,216.69140625,False,False,21
4017,tireworld-truck,p75,CASP-KB,asp,True,True,87.45645332243294,163.05078125,False,False,17
4027,tireworld-truck,p23,CASP-KB,asp,True,True,5.638042752165347,1.28515625,False,False,14
4037,tireworld-truck,p12,CASP-KB,asp,True,True,5.236342173069716,1.16015625,False,False,14
4047,tireworld-truck,p08,CASP-KB,asp,True,True,2.1191018731333315,1.16015625,False,False,11
4057,tireworld-truck,p15,CASP-KB,asp,True,True,13.26207803701982,1.08203125,False,False,14
4067,tireworld-truck,p47,CASP-KB,asp,True,True,63.41575340786949,114.765625,False,False,18
4077,tireworld-truck,p64,CASP-KB,asp,True,True,48.18053087405861,117.453125,False,False,18
4087,tireworld-truck,p02,CASP-KB,asp,True,True,1.0166233768686652,1.1015625,False,False,9
4097,tireworld-truck,p68,CASP-KB,asp,True,True,343.415251925122,140.15625,False,False,21
4107,tireworld-truck,p70,CASP-KB,asp,True,True,247.76417640270665,166.21875,False,False,19
4117,tireworld-truck,p65,CASP-KB,asp,True,True,55.357948787976056,161.43359375,False,False,18
4127,tireworld-truck,p38,CASP-KB,asp,True,True,4.295453399885446,1.3046875,False,False,13
4137,tireworld-truck,p60,CASP-KB,asp,True,True,9.884638944640756,0.83203125,False,False,16
4147,tireworld-truck,p40,CASP-KB,asp,True,True,18.532541589345783,0.83984375,False,False,17
4157,tireworld-truck,p67,CASP-KB,asp,True,True,103.37265517516062,124.08203125,False,False,19
4167,tireworld-truck,p61,CASP-KB,asp,True,True,5.367381901014596,1.29296875,False,False,14
4177,tireworld-truck,p71,CASP-KB,asp,True,True,559.0662703630514,199.65234375,False,False,21
4187,tireworld-truck,p46,CASP-KB,asp,True,True,12.249714297242464,1.12890625,False,False,16
4197,tireworld-truck,p54,CASP-KB,asp,True,True,46.7928851172328,118.453125,False,False,16
4207,tireworld-truck,p62,CASP-KB,asp,True,True,20.4801463666372,1.16015625,False,False,16
4217,tireworld-truck,p32,CASP-KB,asp,True,True,20.646361445076764,0.86328125,False,False,15
4227,tireworld-truck,p05,CASP-KB,asp,True,True,1.800499876961112,1.31640625,False,False,11
4237,tireworld-truck,p53,CASP-KB,asp,True,True,114.50292982812972,149.30078125,False,False,18
4247,tireworld-truck,p59,CASP-KB,asp,True,True,6.1367301368154585,1.1640625,False,False,16
4257,tireworld-truck,p34,CASP-KB,asp,True,True,1.7054266859777272,0.7578125,False,False,13
4267,tireworld-truck,p33,CASP-KB,asp,True,True,59.80652009975165,134.32421875,False,False,17
4277,tireworld-truck,p45,CASP-KB,asp,True,True,27.249713848810643,1.30078125,False,False,17
4287,tireworld-truck,p28,CASP-KB,asp,True,True,14.882063798140734,0.9375,False,False,15
4297,tireworld-truck,p43,CASP-KB,asp,True,True,22.08779350295663,1.10546875,False,False,17
4307,tireworld-truck,p39,CASP-KB,asp,True,True,6.5651513850316405,1.2421875,False,False,15
4317,tireworld-truck,p21,CASP-KB,asp,True,True,2.5804894790053368,1.29296875,False,False,12
4327,tireworld-truck,p74,CASP-KB,asp,True,True,274.15840055420995,193.47265625,False,False,19
4337,tireworld-truck,p11,CASP-KB,asp,True,True,1.583878675941378,1.2109375,False,False,9
4347,tireworld-truck,p55,CASP-KB,asp,True,True,55.259655382018536,101.82421875,False,False,16
4357,tireworld-truck,p51,CASP-KB,asp,True,True,214.68132847407836,156.52734375,False,False,20
4367,tireworld-truck,p31,CASP-KB,asp,True,True,14.965854463167489,0.8515625,False,False,15
4377,tireworld-truck,p37,CASP-KB,asp,True,True,2.655085809994489,1.09375,False,False,13
4387,tireworld-truck,p19,CASP-KB,asp,True,True,2.8782650707289577,1.171875,False,False,14
4397,tireworld-truck,p04,CASP-KB,asp,True,True,1.445759465917945,1.26171875,False,False,11
3666,tireworld-truck,p50,CASP-Base,asp,True,True,632.0806407742202,151.6953125,False,False,20
3676,tireworld-truck,p20,CASP-Base,asp,True,True,3.662883606739342,1.66796875,False,False,14
3686,tireworld-truck,p35,CASP-Base,asp,True,True,2.4593443730846047,1.08984375,False,False,15
3696,tireworld-truck,p48,CASP-Base,asp,True,True,318.0582956923172,135.94921875,False,False,18
3706,tireworld-truck,p22,CASP-Base,asp,True,True,2.391275618225336,1.1328125,False,False,12
3716,tireworld-truck,p29,CASP-Base,asp,True,True,98.54849297367036,121.578125,False,False,17
3726,tireworld-truck,p25,CASP-Base,asp,True,True,2.9370364686474204,1.18359375,False,False,12
3736,tireworld-truck,p44,CASP-Base,asp,True,True,9.896239536814392,1.44921875,False,False,15
3746,tireworld-truck,p58,CASP-Base,asp,True,True,2.6810544412583117,1.02734375,False,False,14
3756,tireworld-truck,p06,CASP-Base,asp,True,True,1.1554299732670188,1.18359375,False,False,9
3766,tireworld-truck,p66,CASP-Base,asp,True,True,16.434321272186935,1.046875,False,False,16
3776,tireworld-truck,p01,CASP-Base,asp,True,True,1.278472918085754,1.390625,False,False,11
3786,tireworld-truck,p17,CASP-Base,asp,True,True,1.3451176900416613,0.86328125,False,False,12
3796,tireworld-truck,p13,CASP-Base,asp,True,True,7.329470446333289,1.1328125,False,False,14
3806,tireworld-truck,p16,CASP-Base,asp,True,True,0.9711325960233808,1.58203125,False,False,10
3816,tireworld-truck,p72,CASP-Base,asp,True,True,3783.1248061843216,209.8359375,False,False,23
3826,tireworld-truck,p14,CASP-Base,asp,True,True,10.057273351587355,1.14453125,False,False,14
