,domain,planner,count,total_count,coverage
0,acrobatics,asp2,4,8,50.0
1,acrobatics,glucose-4h,4,8,50.0
2,acrobatics,minisat-4h,3,8,37.5
3,acrobatics,paladinus-4h,8,8,100.0
4,acrobatics,prp-4h,8,8,100.0
5,beam-walk,glucose-4h,3,11,27.27
6,beam-walk,minisat-4h,2,11,18.18
7,beam-walk,paladinus-4h,9,11,81.82
8,beam-walk,prp-4h,11,11,100.0
9,blocksworld,glucose-4h,20,70,28.57
10,blocksworld,minisat-4h,18,70,25.71
11,blocksworld,paladinus-4h,15,70,21.43
12,blocksworld,prp-4h,70,70,100.0
13,chain-of-rooms,glucose-4h,1,10,10.0
14,chain-of-rooms,paladinus-4h,6,10,60.0
15,chain-of-rooms,prp-4h,10,10,100.0
16,doors,asp1,14,15,93.33
17,doors,asp2,15,15,100.0
18,doors,glucose-4h,15,15,100.0
19,doors,minisat-4h,10,15,66.67
20,doors,paladinus-4h,14,15,93.33
21,doors,prp-4h,15,15,100.0
22,earth_observation,glucose-4h,10,40,25.0
23,earth_observation,minisat-4h,6,40,15.0
24,earth_observation,paladinus-4h,10,40,25.0
25,earth_observation,prp-4h,40,40,100.0
26,elevators,asp1,7,15,46.67
27,elevators,asp2,7,15,46.67
28,elevators,glucose-4h,7,15,46.67
29,elevators,minisat-4h,7,15,46.67
30,elevators,paladinus-4h,7,15,46.67
31,elevators,prp-4h,15,15,100.0
32,faults-ipc08,glucose-4h,38,55,69.09
33,faults-ipc08,minisat-4h,28,55,50.91
34,faults-ipc08,paladinus-4h,47,55,85.45
35,faults-ipc08,prp-4h,55,55,100.0
36,first-responders-ipc08,asp1,11,73,15.07
37,first-responders-ipc08,asp2,11,73,15.07
38,first-responders-ipc08,glucose-4h,49,73,67.12
39,first-responders-ipc08,minisat-4h,40,73,54.79
40,first-responders-ipc08,paladinus-4h,28,73,38.36
41,first-responders-ipc08,prp-4h,73,73,100.0
42,islands,asp1,60,60,100.0
43,islands,asp2,60,60,100.0
44,islands,glucose-4h,57,60,95.0
45,islands,minisat-4h,60,60,100.0
46,islands,paladinus-4h,48,60,80.0
47,islands,prp-4h,31,60,51.67
48,miner,asp1,50,50,100.0
49,miner,asp2,50,50,100.0
50,miner,glucose-4h,50,50,100.0
51,miner,minisat-4h,50,50,100.0
52,miner,paladinus-4h,44,50,88.0
53,miner,prp-4h,13,50,26.0
54,spiky-tireworld,asp1,9,11,81.82
55,spiky-tireworld,asp2,11,11,100.0
56,spiky-tireworld,glucose-4h,10,11,90.91
57,spiky-tireworld,minisat-4h,7,11,63.64
58,spiky-tireworld,paladinus-4h,10,11,90.91
59,spiky-tireworld,prp-4h,2,11,18.18
60,tireworld,glucose-4h,11,11,100.0
61,tireworld,minisat-4h,11,11,100.0
62,tireworld,paladinus-4h,11,11,100.0
63,tireworld,prp-4h,11,11,100.0
64,tireworld-truck,asp1,74,74,100.0
65,tireworld-truck,asp2,74,74,100.0
66,tireworld-truck,glucose-4h,74,74,100.0
67,tireworld-truck,minisat-4h,69,74,93.24
68,tireworld-truck,paladinus-4h,56,74,75.68
69,tireworld-truck,prp-4h,24,74,32.43
70,triangle-tireworld,asp2,5,40,12.5
71,triangle-tireworld,glucose-4h,5,40,12.5
72,triangle-tireworld,minisat-4h,2,40,5.0
73,triangle-tireworld,paladinus-4h,5,40,12.5
74,triangle-tireworld,prp-4h,40,40,100.0
75,zenotravel,glucose-4h,5,15,33.33
76,zenotravel,minisat-4h,5,15,33.33
77,zenotravel,paladinus-4h,5,15,33.33
78,zenotravel,prp-4h,15,15,100.0
