domain,instance,configuration,time,choices,conflicts,restarts,constraints,variables,sat,iteration
spiky-tireworld,p01,asp-1,0.0,50,6,0,7674,4104,0,3
spiky-tireworld,p01,asp-1,0.17,2202,831,6,104647,38120,0,11
spiky-tireworld,p01,asp-1,27.57,302266,67393,243,272962,94764,0,18
spiky-tireworld,p01,asp-1,0.4,3605,1868,13,123832,44676,0,12
spiky-tireworld,p01,asp-1,0.93,5169,3247,21,144627,51744,0,13
spiky-tireworld,p01,asp-1,13.33,181113,41361,145,244027,85136,0,17
spiky-tireworld,p01,asp-1,0.0,0,1,0,0,506,0,1
spiky-tireworld,p01,asp-1,0.0,214,67,1,23011,9536,0,5
spiky-tireworld,p01,asp-1,124.04,2026526,246755,667,335776,115556,0,20
spiky-tireworld,p01,asp-1,0.02,395,158,2,56692,21524,0,8
spiky-tireworld,p01,asp-1,0.08,1067,465,3,87066,32076,0,10
spiky-tireworld,p01,asp-1,3.47,18484,11277,56,191071,67416,0,15
spiky-tireworld,p01,asp-1,0.01,206,85,1,32662,13020,0,6
spiky-tireworld,p01,asp-1,7.09,34549,21927,92,216732,76020,0,16
spiky-tireworld,p01,asp-1,0.0,0,1,0,164,1590,0,2
spiky-tireworld,p01,asp-1,0.01,402,131,2,43887,17016,0,7
spiky-tireworld,p01,asp-1,58.55,768208,138953,438,303543,104904,0,19
spiky-tireworld,p01,asp-1,228.08,4399807,449232,1022,369667,126720,0,21
spiky-tireworld,p01,asp-1,12.16,65341,26634,108,405222,138396,1,22
spiky-tireworld,p01,asp-1,0.0,76,12,0,14928,6564,0,4
spiky-tireworld,p01,asp-1,0.04,820,304,2,71083,26544,0,9
spiky-tireworld,p01,asp-1,2.19,13485,8091,43,167038,59324,0,14
spiky-tireworld,p01,asp-2,0.14,1246,697,6,105312,38248,0,11
spiky-tireworld,p01,asp-2,19.54,90425,57075,189,274866,95095,0,18
spiky-tireworld,p01,asp-2,0.36,2681,1664,12,124635,44827,0,12
spiky-tireworld,p01,asp-2,1.07,6970,4494,27,145581,51920,0,13
spiky-tireworld,p01,asp-2,12.82,59579,37998,126,245715,85432,0,17
spiky-tireworld,p01,asp-2,97.44,751273,206831,551,338151,115963,0,20
spiky-tireworld,p01,asp-2,0.02,236,157,2,57021,21595,0,8
spiky-tireworld,p01,asp-2,0.07,680,380,4,87606,32183,0,10
spiky-tireworld,p01,asp-2,874.37,10022635,1174031,2557,445626,151120,0,23
spiky-tireworld,p01,asp-2,4.43,21206,13696,61,192366,67648,0,15
spiky-tireworld,p01,asp-2,5.65,33407,21472,93,218217,76283,0,16
spiky-tireworld,p01,asp-2,44.16,166310,107523,316,305676,105272,0,19
spiky-tireworld,p01,asp-2,187.58,2353370,360950,984,372297,127168,0,21
spiky-tireworld,p01,asp-2,432.79,6732784,743417,1788,408120,138887,0,22
spiky-tireworld,p01,asp-2,1478.18,18191133,1660915,3689,484821,163867,0,24
spiky-tireworld,p01,asp-2,0.05,385,277,3,71511,26632,0,9
spiky-tireworld,p01,asp-2,1.83,10252,6342,30,168156,59527,0,14
spiky-tireworld,p03,asp-1,0.0,50,6,0,7674,4104,0,3
