instance,sim,num_states,num_threads,cpu_time,time,solve_time,choices,conflicts,restarts,variables,constraints
3,40,10,4,22.03,6.338,5.26,68763,13546,37,91963,368948
1,69,8,8,3.209,1.01,0.4,7964,1819,8,38592,228936
1,97,8,8,3.377,0.996,0.41,21063,1791,7,38592,228936
3,72,10,6,27.355,5.398,4.42,209430,17139,55,91963,368948
1,20,9,1,1.323,1.323,0.39,1864,850,5,48410,293019
3,39,10,6,18.286,3.891,2.9,36353,14319,43,91963,368948
1,56,8,1,1.356,1.356,0.61,2428,1294,11,38692,229592
3,61,9,6,11.184,2.642,1.76,20395,6959,25,75987,301424
4,80,14,2,1.862,1.366,0.51,31778,3233,11,74042,325498
1,68,8,1,1.335,1.345,0.6,2428,1294,11,38692,229592
4,26,13,10,4.21,1.199,0.52,23993,2191,9,64635,281998
2,56,30,1,64.329,64.329,63.48,926909,142955,430,67889,352953
4,68,14,8,5.363,1.475,0.67,32018,2633,13,74042,325498
2,55,31,1,47.459,47.459,46.53,840718,108940,317,72399,379593
2,31,30,2,34.867,17.864,17.13,560137,73369,208,67907,352896
1,74,9,2,2.155,1.508,0.66,4044,1631,6,48290,292269
2,22,30,2,48.868,24.83,24.09,718676,102557,272,67907,352896
4,35,13,1,2.022,2.023,1.15,41437,3744,18,65381,285370
1,68,9,8,5.061,1.357,0.61,12585,2659,14,48290,292269
2,98,30,10,48.276,7.366,6.7,265437,41046,75,67907,352896
2,80,30,8,40.626,6.414,5.72,464579,36172,83,67907,352896
2,7,31,2,72.809,36.812,36.03,995034,146290,361,72417,379534
3,62,10,1,9.138,9.138,7.93,33761,13471,62,92122,376763
4,43,13,2,1.609,1.181,0.44,6541,2263,8,64635,281998
4,3,14,6,3.983,1.337,0.54,78885,3888,19,74042,325498
2,88,31,1,48.165,48.165,47.16,840718,108940,317,72399,379593
3,77,9,10,11.454,2.306,1.51,31115,7050,26,75987,301424
4,62,13,10,3.465,1.095,0.41,12086,1922,9,64635,281998
3,50,10,10,31.14,5.214,4.22,66067,16835,48,91963,368948
3,16,10,8,21.701,3.989,3,88510,12484,41,91963,368948
3,44,9,10,11.913,2.438,1.64,20838,7377,24,75987,301424
3,81,9,4,9.442,3.028,2.16,20114,6578,19,75987,301424
3,52,9,6,9.298,2.318,1.44,34898,7332,23,75987,301424
1,92,8,4,2.354,1.082,0.44,4685,1659,9,38592,228936
2,16,30,6,54.786,9.916,9.16,413664,67998,145,67907,352896
1,94,9,4,2.836,1.324,0.51,6219,2051,10,48290,292269
3,82,10,2,7.613,4.344,3.29,24765,10298,37,91963,368948
2,56,31,8,37.768,5.969,5.24,500153,31122,86,72417,379534
2,56,31,6,9.697,2.337,1.55,281271,13442,50,72417,379534
3,84,10,8,21.522,3.982,3,79062,13931,46,91963,368948
4,9,14,8,3.984,1.267,0.45,51881,2324,10,74042,325498
3,71,10,1,9.011,9.011,7.83,33761,13471,62,92122,376763
4,8,14,2,1.787,1.334,0.47,30854,2873,14,74042,325498
1,81,8,8,2.978,0.962,0.37,28116,1594,9,38592,228936
2,31,31,6,18.504,3.814,3.02,511576,26076,85,72417,379534
1,94,8,6,2.561,0.977,0.33,9896,1465,8,38592,228936
3,95,9,4,6.793,2.364,1.49,55405,7167,26,75987,301424
3,95,10,8,20.141,3.841,2.81,101241,14846,48,91963,368948
2,63,31,10,39.687,6.229,5.49,268326,36504,78,72417,379534
1,18,9,10,4.89,1.367,0.62,19513,2275,8,48290,292269
2,30,30,8,54.005,8.303,7.63,479315,47523,97,67907,352896
1,75,8,6,2.618,0.983,0.34,5149,1686,7,38592,228936
4,64,13,2,1.68,1.22,0.48,22100,2949,16,64635,281998
3,99,9,2,3.846,2.378,1.49,9007,5084,14,75987,301424
4,82,14,4,2.869,1.366,0.51,22597,2640,10,74042,325498
3,80,9,8,10.35,2.178,1.39,19861,6922,23,75987,301424
1,72,9,6,5.657,1.642,0.83,21907,3598,19,48290,292269
3,7,10,4,16.197,4.881,3.8,68030,13486,35,91963,368948
4,83,13,8,3.031,1.029,0.35,17932,1807,8,64635,281998
2,34,31,6,64.707,11.619,10.81,543039,79809,166,72417,379534
3,78,9,4,8.282,2.731,1.87,83706,7966,30,75987,301424
2,14,31,1,47.168,47.31,46.41,840718,108940,317,72399,379593
1,74,8,6,2.744,1.014,0.36,8625,1584,7,38592,228936
1,41,9,1,1.308,1.308,0.4,1864,850,5,48410,293019
2,82,30,6,60.169,10.793,10.06,515694,74963,166,67907,352896
3,45,10,1,9.065,9.065,7.84,33761,13471,62,92122,376763
4,21,13,6,2.857,1.052,0.37,41155,2296,13,64635,281998
4,69,13,1,2.014,2.015,1.18,41437,3744,18,65381,285370
2,30,31,6,36.059,6.785,5.98,517076,48283,119,72417,379534
4,6,13,8,3.053,1.028,0.35,21799,1882,9,64635,281998
2,11,31,1,48.306,48.352,47.46,840718,108940,317,72399,379593
4,85,14,6,3.83,1.311,0.51,47159,3322,18,74042,325498
2,98,31,2,21.18,11.015,10.22,531791,47403,137,72417,379534
3,88,10,10,21.145,3.824,2.85,49653,12135,38,91963,368948
4,63,14,4,4.247,1.732,0.85,48469,2841,13,74042,325498
2,7,31,6,16.748,3.497,2.71,351661,23620,70,72417,379534
1,96,8,4,2.282,1.066,0.41,4344,1512,8,38592,228936
1,84,8,6,2.655,1.015,0.34,10739,1571,7,38592,228936
2,60,30,1,63.576,63.577,62.71,926909,142955,430,67889,352953
4,71,13,1,2.022,2.022,1.17,41437,3744,18,65381,285370
2,82,31,10,52.661,7.988,7.25,467138,47038,104,72417,379534
1,35,8,8,3.124,0.964,0.37,11160,1803,9,38592,228936
4,30,13,1,1.996,1.996,1.15,41437,3744,18,65381,285370
1,92,9,1,1.322,1.322,0.4,1864,850,5,48410,293019
3,77,10,6,25.259,5.044,4.07,58160,14797,37,91963,368948
2,42,30,4,41.503,10.936,10.2,213783,61600,104,67907,352896
4,19,13,2,1.473,1.113,0.38,6214,1980,8,64635,281998
1,19,9,8,4.54,1.293,0.53,21499,2667,11,48290,292269
3,26,9,4,7.532,2.57,1.67,17124,7059,21,75987,301424
3,66,10,1,9.022,9.022,7.82,33761,13471,62,92122,376763
4,92,14,8,4.258,1.311,0.5,31682,3106,13,74042,325498
3,75,9,1,3.893,3.893,2.92,9306,5450,29,76110,307683
3,58,9,8,11.345,2.357,1.54,30833,7973,27,75987,301424
3,87,9,2,3.943,2.421,1.55,8347,4758,15,75987,301424
4,83,13,1,2.028,2.028,1.15,41437,3744,18,65381,285370
4,65,14,10,6.37,1.597,0.8,28905,3214,13,74042,325498
2,48,30,1,63.891,63.89,63.04,926909,142955,430,67889,352953
4,90,14,2,2.672,1.78,0.92,48349,5374,21,74042,325498
1,28,8,8,2.661,0.914,0.32,4919,1515,7,38592,228936
2,41,31,4,44.402,11.715,10.93,230270,67418,102,72417,379534
2,29,30,1,64.411,64.41,63.53,926909,142955,430,67889,352953
4,70,14,1,1.914,1.914,0.94,6875,2910,16,74857,329151
3,98,9,10,9.521,2.066,1.26,16877,6317,23,75987,301424
2,24,31,4,48.846,12.806,12.03,232516,65051,103,72417,379534
4,16,14,8,4.341,1.317,0.51,35454,2475,11,74042,325498
4,42,13,1,1.984,1.984,1.15,41437,3744,18,65381,285370
2,89,31,4,35.175,9.387,8.61,253243,47518,104,72417,379534
4,71,13,8,4.224,1.202,0.52,21569,2412,10,64635,281998
2,10,31,10,49.644,7.509,6.77,446368,42403,91,72417,379534
1,17,9,4,2.82,1.331,0.5,5044,1721,10,48290,292269
1,1,9,8,4.436,1.279,0.54,15996,2335,11,48290,292269
1,48,9,6,3.836,1.328,0.52,17761,2269,11,48290,292269
4,42,13,4,2.276,1.14,0.4,14120,1537,9,64635,281998
4,32,14,2,1.919,1.407,0.53,23206,2831,9,74042,325498
1,39,9,4,4.179,1.649,0.85,15711,3227,13,48290,292269
1,14,9,6,2.014,1.016,0.21,4216,883,4,48290,292269
3,30,10,1,9.115,9.115,7.92,33761,13471,62,92122,376763
3,30,10,4,16.96,5.064,4,33458,15593,37,91963,368948
4,73,14,8,3.964,1.26,0.46,64517,2391,12,74042,325498
2,29,30,10,51.561,7.778,7.11,238141,43015,79,67907,352896
2,4,31,2,72.553,36.744,35.96,983599,140826,349,72417,379534
3,23,10,6,17.755,3.792,2.82,82480,14243,41,91963,368948
1,70,9,6,3.67,1.295,0.49,7100,2114,9,48290,292269
2,53,30,2,50.042,25.419,24.69,647129,97044,237,67907,352896
3,34,9,4,6.606,2.35,1.44,14240,6205,21,75987,301424
1,12,9,4,2.846,1.325,0.52,5810,1880,10,48290,292269
3,22,9,4,7.849,2.623,1.76,29790,6009,21,75987,301424
2,64,31,4,32.505,8.724,7.94,230347,44688,102,72417,379534
4,9,14,6,3.41,1.237,0.45,33936,3167,16,74042,325498
3,78,10,2,9.259,5.179,4.13,41925,13704,43,91963,368948
3,46,9,2,3.443,2.162,1.3,10027,4602,16,75987,301424
1,11,8,10,3.415,1.01,0.42,27064,1657,5,38592,228936
4,91,13,4,2.455,1.189,0.44,31384,1990,11,64635,281998
4,51,13,6,2.418,0.989,0.3,29327,1781,7,64635,281998
1,47,9,6,3.067,1.208,0.4,15615,1743,8,48290,292269
4,52,13,6,2.45,0.986,0.31,19963,1873,9,64635,281998
4,57,14,6,5.032,1.513,0.71,174906,4658,22,74042,325498
2,96,30,4,41.847,11.039,10.29,242550,57974,96,67907,352896
4,61,13,1,1.991,1.992,1.15,41437,3744,18,65381,285370
2,93,30,8,70.258,10.736,10.07,465082,56037,111,67907,352896
3,30,9,1,3.86,3.86,2.88,9306,5450,29,76110,307683
4,14,13,10,2.955,1.033,0.34,7098,1349,5,64635,281998
2,35,30,10,65.367,9.741,9.07,218415,60905,104,67907,352896
2,80,30,2,47.528,24.142,23.41,761291,90410,259,67907,352896
4,38,14,4,3.655,1.569,0.71,45351,4347,16,74042,325498
2,53,31,2,4.527,2.67,1.88,141648,10279,49,72417,379534
2,85,31,1,47.312,47.312,46.41,840718,108940,317,72399,379593
1,73,8,1,1.337,1.346,0.61,2428,1294,11,38692,229592
2,4,31,10,49.74,7.515,6.79,334748,41975,85,72417,379534
4,64,14,10,4.508,1.348,0.56,42430,2863,11,74042,325498
3,31,10,8,25.898,4.503,3.53,48029,14328,44,91963,368948
4,95,13,1,2.063,2.063,1.21,41437,3744,18,65381,285370
2,1,31,8,44.579,6.987,6.26,480256,37391,87,72417,379534
3,72,9,1,3.906,3.906,2.91,9306,5450,29,76110,307683
1,2,8,2,1.859,1.274,0.6,3035,1461,6,38592,228936
4,42,13,10,3.519,1.082,0.41,17535,1808,8,64635,281998
2,3,30,4,39.876,10.552,9.82,228912,55933,96,67907,352896
4,96,14,2,1.63,1.249,0.4,21388,2201,11,74042,325498
1,10,8,10,3.247,0.973,0.38,7446,1427,7,38592,228936
4,80,14,10,5.654,1.48,0.68,47705,3743,15,74042,325498
3,41,9,8,9.91,2.139,1.34,140237,7713,31,75987,301424
4,79,14,8,4.106,1.269,0.48,39270,2320,9,74042,325498
4,82,14,8,4.253,1.311,0.51,49113,3012,15,74042,325498
3,58,10,1,9.115,9.127,7.95,33761,13471,62,92122,376763
2,9,31,1,47.271,47.34,46.42,840718,108940,317,72399,379593
3,93,9,8,9.975,2.16,1.34,18812,5627,21,75987,301424
1,95,9,10,4.222,1.272,0.51,17264,2180,10,48290,292269
3,36,9,6,8.668,2.231,1.33,23077,6189,22,75987,301424
3,31,10,10,41.444,6.721,5.74,214271,19032,54,91963,368948
2,86,31,10,47.114,7.216,6.48,347833,41703,85,72417,379534
1,4,9,4,1.934,1.086,0.29,3767,1083,5,48290,292269
4,66,13,1,1.997,1.997,1.17,41437,3744,18,65381,285370
3,94,10,4,13.943,4.308,3.24,29711,12897,34,91963,368948
3,85,10,10,28.918,4.961,3.98,93457,14873,45,91963,368948
2,43,31,10,49.472,7.577,6.83,419326,46479,101,72417,379534
2,89,30,6,49.809,9.059,8.33,471984,62420,142,67907,352896
3,9,9,4,8.803,2.865,1.99,27529,6549,20,75987,301424
1,48,8,1,1.387,1.387,0.63,2428,1294,11,38692,229592
4,63,14,8,5.445,1.456,0.66,82183,2818,15,74042,325498
2,63,31,4,55.283,14.427,13.63,254584,72048,128,72417,379534
3,20,10,6,19.67,4.11,3.14,123045,13780,48,91963,368948
4,25,13,6,2.929,1.065,0.39,28773,1743,8,64635,281998
1,1,9,2,2.784,1.822,0.97,5611,2327,8,48290,292269
4,66,14,10,6.414,1.595,0.8,49576,3011,12,74042,325498
1,32,9,2,1.478,1.173,0.32,1849,666,2,48290,292269
1,78,8,4,2.142,1.031,0.38,3733,1527,8,38592,228936
1,47,9,1,1.327,1.328,0.4,1864,850,5,48410,293019
2,36,31,6,110.413,19.397,18.61,1050925,130839,238,72417,379534
2,84,30,8,44.777,7.036,6.37,236015,36689,88,67907,352896
1,46,9,8,3.99,1.207,0.47,20525,1947,9,48290,292269
1,47,9,2,2.501,1.682,0.83,3853,1864,6,48290,292269
4,81,14,8,5.402,1.45,0.65,59683,3173,15,74042,325498
3,49,9,4,6.145,2.202,1.33,12414,5369,18,75987,301424
2,61,30,1,63.614,63.615,62.77,926909,142955,430,67889,352953
4,88,13,6,2.467,0.99,0.31,13007,1735,9,64635,281998
3,17,9,8,10.689,2.227,1.42,27641,7624,26,75987,301424
3,48,9,4,7.211,2.467,1.6,34789,6282,21,75987,301424
4,84,14,1,1.953,1.953,0.95,6875,2910,16,74857,329151
2,89,30,10,61.723,9.173,8.5,304346,53204,104,67907,352896
3,35,9,1,3.867,3.867,2.9,9306,5450,29,76110,307683
2,77,31,6,37.142,7.179,6.37,496421,50990,119,72417,379534
4,26,14,4,3.671,1.572,0.71,46014,4615,20,74042,325498
3,26,9,8,10.542,2.225,1.4,24180,7628,25,75987,301424
2,47,31,4,37.075,9.897,9.11,258831,57955,102,72417,379534
1,3,8,4,2.299,1.072,0.42,4390,1591,8,38592,228936
