scenario,instance,solver,total-time,ground-time,solve-time,iteration
spiky-tireworld,p09,asp-opt-8,0.567,0.5469999999999999,0.02,2
spiky-tireworld,p09,asp-opt-8,5.714,4.114000000000001,1.6,10
spiky-tireworld,p09,asp-opt-8,550.079,12.118999999999915,537.96,17
spiky-tireworld,p09,asp-opt-8,7.875,5.255,2.62,11
spiky-tireworld,p09,asp-opt-8,11.677,6.0569999999999995,5.62,12
spiky-tireworld,p09,asp-opt-8,299.858,10.328000000000031,289.53,16
spiky-tireworld,p09,asp-opt-8,0.936,0.886,0.05,4
spiky-tireworld,p09,asp-opt-8,3427.126,15.706000000000131,3411.42,19
spiky-tireworld,p09,asp-opt-8,2.615,2.395,0.22,7
spiky-tireworld,p09,asp-opt-8,4.361,3.7609999999999997,0.6,9
spiky-tireworld,p09,asp-opt-8,88.869,8.168999999999997,80.7,14
spiky-tireworld,p09,asp-opt-8,1.405,1.335,0.07,5
spiky-tireworld,p09,asp-opt-8,180.237,9.766999999999996,170.47,15
spiky-tireworld,p09,asp-opt-8,0.22,0.22,0.0,1
spiky-tireworld,p09,asp-opt-8,1.909,1.749,0.16,6
spiky-tireworld,p09,asp-opt-8,1198.527,12.667000000000144,1185.86,18
spiky-tireworld,p09,asp-opt-8,6332.987,16.16700000000037,6316.82,20
spiky-tireworld,p09,asp-opt-8,897.886,20.025999999999954,877.86,21
spiky-tireworld,p09,asp-opt-8,0.729,0.699,0.03,3
spiky-tireworld,p09,asp-opt-8,3.3,2.9699999999999998,0.33,8
spiky-tireworld,p09,asp-opt-8,53.698,7.258000000000003,46.44,13
spiky-tireworld,p09,asp-plus-opt-1,0.04,0.04,0.0,-1
spiky-tireworld,p09,asp-plus-opt-1,0.348,0.348,0.0,2
spiky-tireworld,p09,asp-plus-opt-1,4.739,3.449,1.29,10
spiky-tireworld,p09,asp-plus-opt-1,509.738,8.978000000000009,500.76,17
spiky-tireworld,p09,asp-plus-opt-1,7.281,4.090999999999999,3.19,11
spiky-tireworld,p09,asp-plus-opt-1,25.155,4.765000000000001,20.39,12
spiky-tireworld,p09,asp-plus-opt-1,214.553,7.8729999999999905,206.68,16
spiky-tireworld,p09,asp-plus-opt-1,0.083,0.083,0.0,0
spiky-tireworld,p09,asp-plus-opt-1,0.778,0.748,0.03,4
spiky-tireworld,p09,asp-plus-opt-1,1951.466,11.865999999999985,1939.6,19
spiky-tireworld,p09,asp-plus-opt-1,2.034,1.7939999999999998,0.24,7
spiky-tireworld,p09,asp-plus-opt-1,3.772,2.8419999999999996,0.93,9
spiky-tireworld,p09,asp-plus-opt-1,90.523,6.533000000000001,83.99,14
spiky-tireworld,p09,asp-plus-opt-1,1.123,1.073,0.05,5
spiky-tireworld,p09,asp-plus-opt-1,118.688,7.647999999999996,111.04,15
spiky-tireworld,p09,asp-plus-opt-1,0.163,0.163,0.0,1
spiky-tireworld,p09,asp-plus-opt-1,1.44,1.3399999999999999,0.1,6
spiky-tireworld,p09,asp-plus-opt-1,1234.054,10.484000000000151,1223.57,18
spiky-tireworld,p09,asp-plus-opt-1,4777.15,12.960000000000036,4764.19,20
spiky-tireworld,p09,asp-plus-opt-1,2447.31,14.590000000000146,2432.72,21
spiky-tireworld,p09,asp-plus-opt-1,0.555,0.545,0.01,3
spiky-tireworld,p09,asp-plus-opt-1,2.809,2.269,0.54,8
spiky-tireworld,p09,asp-plus-opt-1,43.926,5.996000000000002,37.93,13
spiky-tireworld,p09,fondsat-minisat,0.7850132421590388,0.611298271920532,0.1737149702385068,1
spiky-tireworld,p09,fondsat-minisat,1.2047455296851695,0.8947711428627372,0.3099743868224323,2
spiky-tireworld,p09,fondsat-minisat,1.6618076912127435,1.2158106160350144,0.44599707517772913,3
spiky-tireworld,p09,fondsat-minisat,2.1388734309002757,1.6740638818591833,0.4648095490410924,4
spiky-tireworld,p09,fondsat-minisat,1.8866534070111811,1.2566470480524004,0.6300063589587808,5
spiky-tireworld,p09,fondsat-minisat,2.5498297456651926,1.4755417257547379,1.0742880199104548,6
spiky-tireworld,p09,fondsat-minisat,4.846466716378927,3.3414211980998516,1.5050455182790756,7
spiky-tireworld,p09,fondsat-minisat,3.988209456205368,2.223109221085906,1.765100235119462,8
spiky-tireworld,p09,fondsat-minisat,7.333550272043794,4.656110540963709,2.677439731080085,9
spiky-tireworld,p09,fondsat-minisat,8.612390051130205,5.575869109947234,3.036520941182971,10
spiky-tireworld,p09,fondsat-minisat,9.627290732692927,3.799497211817652,5.827793520875275,11
spiky-tireworld,p09,fondsat-minisat,16.472519524861127,3.830870572011918,12.64164895284921,12
spiky-tireworld,p09,fondsat-minisat,26.84073761710897,4.967932420782745,21.872805196326226,13
spiky-tireworld,p09,fondsat-minisat,58.672542173881084,4.982275487855077,53.69026668602601,14
spiky-tireworld,p09,fondsat-minisat,147.8457628809847,5.970929143950343,141.87483373703435,15
spiky-tireworld,p09,fondsat-minisat,244.45985153783113,7.5356776979751885,236.92417383985594,16
