scenario,instance,solver,total-time,ground-time,solve-time,iteration
spiky-tireworld,p11,asp-opt-8,0.721,0.691,0.03,2
spiky-tireworld,p11,asp-opt-8,7.094,5.554,1.54,10
spiky-tireworld,p11,asp-opt-8,801.333,16.41300000000001,784.92,17
spiky-tireworld,p11,asp-opt-8,10.803,7.093000000000001,3.71,11
spiky-tireworld,p11,asp-opt-8,22.655,8.075000000000001,14.58,12
spiky-tireworld,p11,asp-opt-8,498.644,13.834000000000003,484.81,16
spiky-tireworld,p11,asp-opt-8,1.245,1.175,0.07,4
spiky-tireworld,p11,asp-opt-8,5010.223,19.95299999999952,4990.27,19
spiky-tireworld,p11,asp-opt-8,3.417,3.127,0.29,7
spiky-tireworld,p11,asp-opt-8,5.988,4.878,1.11,9
spiky-tireworld,p11,asp-opt-8,134.791,10.191000000000003,124.6,14
spiky-tireworld,p11,asp-opt-8,1.793,1.7029999999999998,0.09,5
spiky-tireworld,p11,asp-opt-8,282.827,12.896999999999991,269.93,15
spiky-tireworld,p11,asp-opt-8,0.271,0.271,0.0,1
spiky-tireworld,p11,asp-opt-8,2.278,2.148,0.13,6
spiky-tireworld,p11,asp-opt-8,1509.553,17.823000000000093,1491.73,18
spiky-tireworld,p11,asp-opt-8,11326.935,21.104999999999563,11305.83,20
spiky-tireworld,p11,asp-opt-8,22605.724,27.523999999997613,22578.2,21
spiky-tireworld,p11,asp-opt-8,0.921,0.881,0.04,3
spiky-tireworld,p11,asp-opt-8,4.212,3.622,0.59,8
spiky-tireworld,p11,asp-opt-8,48.09,9.880000000000003,38.21,13
spiky-tireworld,p11,asp-plus-opt-1,0.048,0.048,0.0,-1
spiky-tireworld,p11,asp-plus-opt-1,0.539,0.529,0.01,2
spiky-tireworld,p11,asp-plus-opt-1,6.369,4.638999999999999,1.73,10
spiky-tireworld,p11,asp-plus-opt-1,922.397,13.017000000000053,909.38,17
spiky-tireworld,p11,asp-plus-opt-1,17.781,5.670999999999999,12.11,11
spiky-tireworld,p11,asp-plus-opt-1,17.822,6.751999999999999,11.07,12
spiky-tireworld,p11,asp-plus-opt-1,386.792,11.741999999999962,375.05,16
spiky-tireworld,p11,asp-plus-opt-1,0.105,0.105,0.0,0
spiky-tireworld,p11,asp-plus-opt-1,1.032,1.002,0.03,4
spiky-tireworld,p11,asp-plus-opt-1,3351.656,15.615999999999985,3336.04,19
spiky-tireworld,p11,asp-plus-opt-1,2.798,2.468,0.33,7
spiky-tireworld,p11,asp-plus-opt-1,4.735,3.9350000000000005,0.8,9
spiky-tireworld,p11,asp-plus-opt-1,116.497,8.486999999999995,108.01,14
spiky-tireworld,p11,asp-plus-opt-1,1.533,1.4329999999999998,0.1,5
spiky-tireworld,p11,asp-plus-opt-1,152.133,10.022999999999996,142.11,15
spiky-tireworld,p11,asp-plus-opt-1,0.208,0.208,0.0,1
spiky-tireworld,p11,asp-plus-opt-1,2.051,1.8510000000000002,0.2,6
spiky-tireworld,p11,asp-plus-opt-1,2060.53,13.990000000000236,2046.54,18
spiky-tireworld,p11,asp-plus-opt-1,0.735,0.725,0.01,3
spiky-tireworld,p11,asp-plus-opt-1,3.554,3.114,0.44,8
spiky-tireworld,p11,asp-plus-opt-1,42.305,6.744999999999997,35.56,13
spiky-tireworld,p11,fondsat-minisat,0.983659,0.756411,0.227248,1
spiky-tireworld,p11,fondsat-minisat,1.467844,1.135299,0.332545,2
spiky-tireworld,p11,fondsat-minisat,1.291536,0.870863,0.420673,3
spiky-tireworld,p11,fondsat-minisat,1.732142,1.175707,0.556435,4
spiky-tireworld,p11,fondsat-minisat,2.491245,1.595762,0.895483,5
spiky-tireworld,p11,fondsat-minisat,3.295713,1.930768,1.364945,6
