,domain,instance,planner,type,solved,SAT,time,memory,timeout,memoryout,policysize
104,blocksworld-ipc08,p06,asp2-reg-undo-4h,asp,True,True,10.561045229900628,0.8125,False,False,11
112,blocksworld-ipc08,p01,asp2-reg-undo-4h,asp,True,True,2.5525964428670704,1.29296875,False,False,9
148,blocksworld-ipc08,p03,asp2-reg-undo-4h,asp,True,True,3.1566304522566497,1.24609375,False,False,10
191,blocksworld-ipc08,p07,asp2-reg-undo-4h,asp,True,True,16.693293255288154,1.08984375,False,False,13
199,blocksworld-ipc08,p09,asp2-reg-undo-4h,asp,True,True,2.4614178901538253,0.91015625,False,False,9
222,blocksworld-ipc08,p08,asp2-reg-undo-4h,asp,True,True,30.35909579880536,122.36328125,False,False,13
237,blocksworld-ipc08,p02,asp2-reg-undo-4h,asp,True,True,2.6276615750975907,1.12109375,False,False,9
245,blocksworld-ipc08,p10,asp2-reg-undo-4h,asp,True,True,4.833166350144893,1.26953125,False,False,11
253,blocksworld-ipc08,p05,asp2-reg-undo-4h,asp,True,True,19.020379688125104,1.1796875,False,False,13
290,blocksworld-ipc08,p04,asp2-reg-undo-4h,asp,True,True,41.53393042180687,126.15234375,False,False,14
300,miner,p50,asp2-reg-4h,asp,True,True,1107.1369340261444,2077.4375,False,False,24
301,miner,p50,asp2-reg-undo-4h,asp,True,True,1031.585314329248,2625.859375,False,False,24
302,miner,p50,asp2-reg-kb-4h,asp,True,True,667.223457837943,2320.4765625,False,False,24
312,miner,p20,asp2-reg-4h,asp,True,True,146.6031676866114,594.18359375,False,False,19
313,miner,p20,asp2-reg-undo-4h,asp,True,True,150.82042223634198,812.5078125,False,False,19
314,miner,p20,asp2-reg-kb-4h,asp,True,True,111.7470421860926,581.2265625,False,False,19
324,miner,p35,asp2-reg-4h,asp,True,True,222.98714079987252,889.62890625,False,False,18
325,miner,p35,asp2-reg-undo-4h,asp,True,True,295.1547018052079,1018.23046875,False,False,18
326,miner,p35,asp2-reg-kb-4h,asp,True,True,221.32673754915595,718.9296875,False,False,18
336,miner,p48,asp2-reg-4h,asp,True,True,929.0429465686902,2234.83203125,False,False,24
337,miner,p48,asp2-reg-undo-4h,asp,True,True,889.8206346309744,2797.35546875,False,False,24
338,miner,p48,asp2-reg-kb-4h,asp,True,True,713.7469320399687,2887.5546875,False,False,24
348,miner,p22,asp2-reg-4h,asp,True,True,431.1352394297719,970.75,False,False,26
349,miner,p22,asp2-reg-undo-4h,asp,True,True,402.2155500529334,1247.39453125,False,False,26
350,miner,p22,asp2-reg-kb-4h,asp,True,True,245.83090994879603,1102.5,False,False,26
360,miner,p29,asp2-reg-4h,asp,True,True,150.68474283162504,615.7421875,False,False,19
361,miner,p29,asp2-reg-undo-4h,asp,True,True,211.4779355986975,844.6875,False,False,19
362,miner,p29,asp2-reg-kb-4h,asp,True,True,141.67330820579082,689.7890625,False,False,19
372,miner,p25,asp2-reg-4h,asp,True,True,150.41687469370663,484.1328125,False,False,20
373,miner,p25,asp2-reg-undo-4h,asp,True,True,165.45327617786825,733.859375,False,False,20
374,miner,p25,asp2-reg-kb-4h,asp,True,True,118.76370250666514,450.01171875,False,False,20
384,miner,p44,asp2-reg-4h,asp,True,True,486.61580976471305,1175.8125,False,False,22
385,miner,p44,asp2-reg-undo-4h,asp,True,True,466.99522405909374,1501.8515625,False,False,22
386,miner,p44,asp2-reg-kb-4h,asp,True,True,319.64751085825264,1203.83984375,False,False,22
396,miner,p01,asp2-reg-4h,asp,True,True,4.922422886826098,1.421875,False,False,18
397,miner,p01,asp2-reg-undo-4h,asp,True,True,6.454612437169999,1.2890625,False,False,18
398,miner,p01,asp2-reg-kb-4h,asp,True,True,7.321779871825129,1.21875,False,False,18
408,miner,p17,asp2-reg-4h,asp,True,True,79.59141712728888,545.9375,False,False,18
409,miner,p17,asp2-reg-undo-4h,asp,True,True,97.9695399920456,765.0390625,False,False,18
410,miner,p17,asp2-reg-kb-4h,asp,True,True,89.64702355209738,551.828125,False,False,18
420,miner,p13,asp2-reg-4h,asp,True,True,27.576284469105303,0.97265625,False,False,17
421,miner,p13,asp2-reg-undo-4h,asp,True,True,31.421927568968385,355.67578125,False,False,17
422,miner,p13,asp2-reg-kb-4h,asp,True,True,34.32705729827285,233.984375,False,False,17
432,miner,p16,asp2-reg-4h,asp,True,True,61.59278118796647,544.5,False,False,16
433,miner,p16,asp2-reg-undo-4h,asp,True,True,78.77774658473209,614.51171875,False,False,16
434,miner,p16,asp2-reg-kb-4h,asp,True,True,73.33027308387682,544.8359375,False,False,16
444,miner,p14,asp2-reg-4h,asp,True,True,63.14849478472024,486.8046875,False,False,19
445,miner,p14,asp2-reg-undo-4h,asp,True,True,75.20655132830143,238.6875,False,False,19
446,miner,p14,asp2-reg-kb-4h,asp,True,True,69.04968866473064,372.8515625,False,False,19
456,miner,p03,asp2-reg-4h,asp,True,True,4.823759211227298,1.14453125,False,False,14
457,miner,p03,asp2-reg-undo-4h,asp,True,True,6.826873598154634,0.84765625,False,False,14
458,miner,p03,asp2-reg-kb-4h,asp,True,True,7.131553796119988,1.2890625,False,False,14
468,miner,p18,asp2-reg-4h,asp,True,True,62.978877045214176,472.08984375,False,False,19
469,miner,p18,asp2-reg-undo-4h,asp,True,True,86.87087627919391,347.03125,False,False,19
470,miner,p18,asp2-reg-kb-4h,asp,True,True,67.00489812996238,364.58203125,False,False,19
480,miner,p26,asp2-reg-4h,asp,True,True,156.5151478210464,615.1953125,False,False,19
481,miner,p26,asp2-reg-undo-4h,asp,True,True,166.28824468282983,774.6015625,False,False,19
482,miner,p26,asp2-reg-kb-4h,asp,True,True,125.56855286518112,683.12109375,False,False,19
492,miner,p30,asp2-reg-4h,asp,True,True,86.75272953417152,506.40234375,False,False,17
493,miner,p30,asp2-reg-undo-4h,asp,True,True,124.32886120537296,701.80078125,False,False,17
494,miner,p30,asp2-reg-kb-4h,asp,True,True,97.83736188709736,455.390625,False,False,17
504,miner,p27,asp2-reg-4h,asp,True,True,321.97468617372215,891.9765625,False,False,22
505,miner,p27,asp2-reg-undo-4h,asp,True,True,348.261317782104,1135.6328125,False,False,22
506,miner,p27,asp2-reg-kb-4h,asp,True,True,213.21925291139632,987.80078125,False,False,22
516,miner,p42,asp2-reg-4h,asp,True,True,359.07788555603474,1143.59765625,False,False,21
