domain,instance,configuration,sat_time,unsat_time,states
triangle-tireworld,p03,asp-3,0.0,0.0,7
triangle-tireworld,p03,asp-4,0.0,0.0,7
triangle-tireworld,p03,asp-5,0.0,0.0,7
triangle-tireworld,p03,asp-2,0.0,0.0,7
triangle-tireworld,p03,asp-1,0.0,0.0,7
triangle-tireworld,p03,asp-6,0.0,0.0,7
triangle-tireworld,p01,asp-3,0.0,0.0,7
triangle-tireworld,p01,asp-4,0.0,0.0,7
triangle-tireworld,p01,asp-5,0.0,0.0,7
triangle-tireworld,p01,asp-2,0.0,0.0,7
triangle-tireworld,p01,asp-1,0.0,0.0,7
triangle-tireworld,p01,asp-6,0.0,0.0,7
beam-walk,p03,asp-3,17.73,26.990000000000002,31
beam-walk,p03,asp-4,56.33,287.80999999999995,31
beam-walk,p03,asp-5,14.01,31.669999999999998,31
beam-walk,p03,asp-2,1.44,252.34000000000003,31
beam-walk,p03,asp-1,10.13,24.200000000000003,31
beam-walk,p03,asp-6,7.35,28.900000000000002,31
beam-walk,p01,asp-3,0.0,0.0,7
beam-walk,p01,asp-4,0.0,0.0,7
beam-walk,p01,asp-5,0.0,0.0,7
beam-walk,p01,asp-2,0.0,0.0,7
beam-walk,p01,asp-1,0.0,0.0,7
beam-walk,p01,asp-6,0.0,0.0,7
blocksworld-ipc08,p03,asp-3,0.16,0.48000000000000004,9
blocksworld-ipc08,p03,asp-4,1.49,4.57,9
blocksworld-ipc08,p03,asp-5,0.46,2.13,9
blocksworld-ipc08,p03,asp-2,2.52,4.88,9
blocksworld-ipc08,p03,asp-1,0.18,0.43,9
blocksworld-ipc08,p03,asp-6,1.89,2.01,9
blocksworld-ipc08,p01,asp-3,0.26,0.35000000000000003,8
blocksworld-ipc08,p01,asp-4,0.86,1.78,8
blocksworld-ipc08,p01,asp-5,1.15,1.27,8
blocksworld-ipc08,p01,asp-2,1.64,1.9,8
blocksworld-ipc08,p01,asp-1,0.2,0.25000000000000006,8
blocksworld-ipc08,p01,asp-6,0.31,1.08,8
tireworld,p03,asp-3,0,0,0
tireworld,p03,asp-4,0,0,0
tireworld,p03,asp-5,0,0,0
tireworld,p03,asp-2,0,0,0
tireworld,p03,asp-1,0,0,0
tireworld,p03,asp-6,0,0,0
tireworld,p01,asp-3,0,0,0
tireworld,p01,asp-4,0,0,0
tireworld,p01,asp-5,0,0,0
tireworld,p01,asp-2,0,0,0
tireworld,p01,asp-1,0,0,0
tireworld,p01,asp-6,0,0,0
first-responders-ipc08,p03,asp-3,0.0,0.0,3
first-responders-ipc08,p03,asp-4,0.0,0.0,3
first-responders-ipc08,p03,asp-5,0.0,0.0,3
first-responders-ipc08,p03,asp-2,0.0,0.0,3
first-responders-ipc08,p03,asp-1,0.0,0.0,3
first-responders-ipc08,p03,asp-6,0.0,0.0,3
first-responders-ipc08,p01,asp-3,0.0,0.0,3
first-responders-ipc08,p01,asp-4,0.0,0.0,3
first-responders-ipc08,p01,asp-5,0.0,0.0,3
first-responders-ipc08,p01,asp-2,0.0,0.0,3
first-responders-ipc08,p01,asp-1,0.0,0.0,3
first-responders-ipc08,p01,asp-6,0.0,0.0,3
