domain,instance,configuration,time,choices,conflicts,restarts,constraints,variables,sat,iteration
triangle-tireworld,p03,asp-3,0.0,0,1,0,0,48,0,1
triangle-tireworld,p03,asp-3,0.0,1,2,0,93,195,0,2
triangle-tireworld,p03,asp-3,0.0,15,7,0,762,450,0,3
triangle-tireworld,p03,asp-3,0.0,78,34,0,4731,1970,0,7
triangle-tireworld,p03,asp-3,0.0,199,99,1,3435,1488,0,6
triangle-tireworld,p03,asp-3,0.0,113,65,1,1440,728,0,4
triangle-tireworld,p03,asp-3,0.0,110,60,0,2352,1074,0,5
triangle-tireworld,p03,asp-4,0.0,0,1,0,0,40,0,1
triangle-tireworld,p03,asp-4,0.0,2,3,0,61,134,0,2
triangle-tireworld,p03,asp-4,0.0,36,18,0,852,296,0,3
triangle-tireworld,p03,asp-4,0.0,117,18,0,8144,1408,0,7
triangle-tireworld,p03,asp-4,0.0,285,119,1,5679,1049,0,6
triangle-tireworld,p03,asp-4,0.0,98,47,0,2102,493,0,4
triangle-tireworld,p03,asp-4,0.0,181,79,1,3665,744,0,5
triangle-tireworld,p03,asp-5,0.0,0,1,0,0,40,0,1
triangle-tireworld,p03,asp-5,0.0,0,1,0,4,151,0,2
triangle-tireworld,p03,asp-5,0.0,6,5,0,568,388,0,3
triangle-tireworld,p03,asp-5,0.0,172,21,0,9296,1770,0,7
triangle-tireworld,p03,asp-5,0.0,258,106,1,6508,1322,0,6
triangle-tireworld,p03,asp-5,0.0,106,51,0,1922,624,0,4
triangle-tireworld,p03,asp-5,0.0,174,61,0,4226,940,0,5
triangle-tireworld,p03,asp-2,0.0,0,1,0,0,40,0,1
triangle-tireworld,p03,asp-2,0.0,2,3,0,61,134,0,2
triangle-tireworld,p03,asp-2,0.0,20,13,0,819,289,0,3
triangle-tireworld,p03,asp-2,0.0,88,17,0,7902,1361,0,7
triangle-tireworld,p03,asp-2,0.0,375,193,2,5510,1015,0,6
triangle-tireworld,p03,asp-2,0.0,130,72,1,2006,479,0,4
triangle-tireworld,p03,asp-2,0.0,295,128,1,3558,721,0,5
triangle-tireworld,p03,asp-1,0.0,0,1,0,0,48,0,1
triangle-tireworld,p03,asp-1,0.0,1,2,0,93,194,0,2
triangle-tireworld,p03,asp-1,0.0,15,6,0,739,442,0,3
triangle-tireworld,p03,asp-1,0.0,266,132,1,4496,1922,0,7
triangle-tireworld,p03,asp-1,0.0,206,104,1,3273,1453,0,6
triangle-tireworld,p03,asp-1,0.0,59,29,0,1383,713,0,4
triangle-tireworld,p03,asp-1,0.0,254,136,1,2250,1050,0,5
triangle-tireworld,p03,asp-6,0.0,0,1,0,0,40,0,1
triangle-tireworld,p03,asp-6,0.0,0,1,0,4,151,0,2
triangle-tireworld,p03,asp-6,0.0,7,6,0,582,396,0,3
triangle-tireworld,p03,asp-6,0.0,157,28,0,9529,1818,0,7
triangle-tireworld,p03,asp-6,0.0,215,77,1,6667,1357,0,6
triangle-tireworld,p03,asp-6,0.0,64,25,0,2378,639,0,4
triangle-tireworld,p03,asp-6,0.0,118,80,1,3663,964,0,5
triangle-tireworld,p01,asp-3,0.0,0,1,0,0,48,0,1
triangle-tireworld,p01,asp-3,0.0,1,2,0,93,195,0,2
triangle-tireworld,p01,asp-3,0.0,15,7,0,762,450,0,3
triangle-tireworld,p01,asp-3,0.0,78,34,0,4731,1970,0,7
triangle-tireworld,p01,asp-3,0.0,199,99,1,3435,1488,0,6
triangle-tireworld,p01,asp-3,0.0,113,65,1,1440,728,0,4
triangle-tireworld,p01,asp-3,0.0,110,60,0,2352,1074,0,5
triangle-tireworld,p01,asp-4,0.0,0,1,0,0,40,0,1
triangle-tireworld,p01,asp-4,0.0,2,3,0,61,134,0,2
triangle-tireworld,p01,asp-4,0.0,36,18,0,852,296,0,3
triangle-tireworld,p01,asp-4,0.0,117,18,0,8144,1408,0,7
triangle-tireworld,p01,asp-4,0.0,285,119,1,5679,1049,0,6
triangle-tireworld,p01,asp-4,0.0,98,47,0,2102,493,0,4
triangle-tireworld,p01,asp-4,0.0,181,79,1,3665,744,0,5
triangle-tireworld,p01,asp-5,0.0,0,1,0,0,40,0,1
triangle-tireworld,p01,asp-5,0.0,0,1,0,4,151,0,2
triangle-tireworld,p01,asp-5,0.0,6,5,0,568,388,0,3
triangle-tireworld,p01,asp-5,0.0,172,21,0,9296,1770,0,7
triangle-tireworld,p01,asp-5,0.0,258,106,1,6508,1322,0,6
triangle-tireworld,p01,asp-5,0.0,106,51,0,1922,624,0,4
triangle-tireworld,p01,asp-5,0.0,174,61,0,4226,940,0,5
triangle-tireworld,p01,asp-2,0.0,0,1,0,0,40,0,1
triangle-tireworld,p01,asp-2,0.0,2,3,0,61,134,0,2
triangle-tireworld,p01,asp-2,0.0,20,13,0,819,289,0,3
triangle-tireworld,p01,asp-2,0.0,88,17,0,7902,1361,0,7
triangle-tireworld,p01,asp-2,0.0,375,193,2,5510,1015,0,6
triangle-tireworld,p01,asp-2,0.0,130,72,1,2006,479,0,4
triangle-tireworld,p01,asp-2,0.0,295,128,1,3558,721,0,5
triangle-tireworld,p01,asp-1,0.0,0,1,0,0,48,0,1
triangle-tireworld,p01,asp-1,0.0,1,2,0,93,194,0,2
triangle-tireworld,p01,asp-1,0.0,15,6,0,739,442,0,3
triangle-tireworld,p01,asp-1,0.0,266,132,1,4496,1922,0,7
triangle-tireworld,p01,asp-1,0.0,206,104,1,3273,1453,0,6
triangle-tireworld,p01,asp-1,0.0,59,29,0,1383,713,0,4
triangle-tireworld,p01,asp-1,0.0,254,136,1,2250,1050,0,5
triangle-tireworld,p01,asp-6,0.0,0,1,0,0,40,0,1
triangle-tireworld,p01,asp-6,0.0,0,1,0,4,151,0,2
triangle-tireworld,p01,asp-6,0.0,7,6,0,582,396,0,3
triangle-tireworld,p01,asp-6,0.0,157,28,0,9529,1818,0,7
triangle-tireworld,p01,asp-6,0.0,215,77,1,6667,1357,0,6
triangle-tireworld,p01,asp-6,0.0,64,25,0,2378,639,0,4
triangle-tireworld,p01,asp-6,0.0,118,80,1,3663,964,0,5
beam-walk,p03,asp-3,0.0,0,1,0,0,72,0,1
beam-walk,p03,asp-3,1.96,21002,11523,55,173875,55975,0,27
beam-walk,p03,asp-3,1.01,14472,7464,37,159648,51992,0,26
beam-walk,p03,asp-3,0.0,0,1,0,34,363,0,2
beam-walk,p03,asp-3,0.5,9043,4475,27,133348,44467,0,24
beam-walk,p03,asp-3,10.59,68233,41466,155,221044,68806,0,30
beam-walk,p03,asp-3,0.08,1781,1053,8,70600,25420,0,18
beam-walk,p03,asp-3,0.13,3496,1603,11,79463,28227,0,19
beam-walk,p03,asp-3,17.73,307343,71923,254,238313,73377,1,31
beam-walk,p03,asp-3,0.93,15048,8045,42,146144,48156,0,25
beam-walk,p03,asp-3,0.0,0,1,0,200,955,0,3
beam-walk,p03,asp-3,0.0,60,40,0,9605,4245,0,7
beam-walk,p03,asp-3,0.23,5256,2626,17,99058,34282,0,21
beam-walk,p03,asp-3,0.21,3924,2324,14,88944,31181,0,20
beam-walk,p03,asp-3,0.0,44,25,0,6986,3202,0,6
beam-walk,p03,asp-3,0.0,11,8,0,3008,1557,0,4
beam-walk,p03,asp-3,0.41,7540,3576,21,109820,37530,0,22
beam-walk,p03,asp-3,0.51,7350,3645,21,121245,40925,0,23
beam-walk,p03,asp-3,0.0,23,18,0,4792,2306,0,5
beam-walk,p03,asp-3,0.0,102,65,1,12660,5435,0,8
beam-walk,p03,asp-3,0.02,822,449,3,29560,11665,0,12
beam-walk,p03,asp-3,0.02,753,402,4,35030,13590,0,13
beam-walk,p03,asp-3,0.0,76,52,0,16168,6772,0,9
beam-walk,p03,asp-3,0.02,620,354,2,24603,9887,0,11
beam-walk,p03,asp-3,0.0,112,68,0,20144,8256,0,10
beam-walk,p03,asp-3,3.13,31710,17688,77,188840,60105,0,28
beam-walk,p03,asp-3,0.02,582,313,4,41028,15662,0,14
beam-walk,p03,asp-3,0.03,776,409,4,47569,17881,0,15
beam-walk,p03,asp-3,7.03,52982,29702,124,204558,64382,0,29
beam-walk,p03,asp-3,0.06,1512,798,6,62340,22760,0,17
beam-walk,p03,asp-3,0.1,2282,1239,8,54668,20247,0,16
beam-walk,p03,asp-4,0.0,0,1,0,0,79,0,1
beam-walk,p03,asp-4,26.52,738349,80797,254,193167,41731,0,27
beam-walk,p03,asp-4,12.05,412150,44499,155,177523,38693,0,26
beam-walk,p03,asp-4,0.0,0,1,0,3,248,0,2
beam-walk,p03,asp-4,3.81,113255,17932,76,148551,32962,0,24
beam-walk,p03,asp-4,122.27,2315544,344293,924,244911,51535,0,30
beam-walk,p03,asp-4,0.25,8233,1306,9,79083,18529,0,18
beam-walk,p03,asp-4,0.45,10622,1993,14,88931,20647,0,19
beam-walk,p03,asp-4,56.33,1481422,167246,489,263813,55033,1,31
beam-walk,p03,asp-4,10.3,345259,38083,126,162656,35770,0,25
beam-walk,p03,asp-4,0.0,0,1,0,6,613,0,3
beam-walk,p03,asp-4,0.0,136,28,0,10817,2821,0,7
beam-walk,p03,asp-4,0.64,20716,4261,26,110658,25228,0,21
beam-walk,p03,asp-4,0.66,37336,3148,17,99451,22880,0,20
beam-walk,p03,asp-4,0.0,111,26,0,7861,2083,0,6
beam-walk,p03,asp-4,0.0,56,9,0,3371,952,0,4
beam-walk,p03,asp-4,1.54,35146,7621,37,122567,27691,0,22
beam-walk,p03,asp-4,3.03,107374,12151,59,135193,30269,0,23
beam-walk,p03,asp-4,0.0,84,19,0,5384,1460,0,5
beam-walk,p03,asp-4,0.0,203,56,0,14263,3674,0,8
beam-walk,p03,asp-4,0.01,687,216,2,33267,8236,0,12
beam-walk,p03,asp-4,0.02,1624,219,2,39398,9664,0,13
beam-walk,p03,asp-4,0.0,193,40,0,18216,4642,0,9
beam-walk,p03,asp-4,0.01,455,145,1,27703,6923,0,11
beam-walk,p03,asp-4,0.0,233,56,0,22691,5725,0,10
beam-walk,p03,asp-4,38.81,893857,118101,380,209603,44884,0,28
beam-walk,p03,asp-4,0.04,1725,224,2,46111,11207,0,14
beam-walk,p03,asp-4,0.07,2182,425,4,53421,12865,0,15
beam-walk,p03,asp-4,66.7,1492491,189240,510,226846,48152,0,29
beam-walk,p03,asp-4,0.55,4039,690,6,69892,16526,0,17
beam-walk,p03,asp-4,0.08,3990,528,5,61343,14638,0,16
beam-walk,p03,asp-5,0.0,0,1,0,0,71,0,1
beam-walk,p03,asp-5,3.29,29252,17557,64,240856,67679,0,27
beam-walk,p03,asp-5,1.24,12440,7030,30,223094,63797,0,26
beam-walk,p03,asp-5,0.0,0,1,0,0,264,0,2
beam-walk,p03,asp-5,0.99,10762,6121,30,190257,56517,0,24
beam-walk,p03,asp-5,12.05,67719,43029,156,299399,80095,0,30
beam-walk,p03,asp-5,0.1,3695,1056,7,95904,23616,0,18
beam-walk,p03,asp-5,0.22,5008,1959,13,107758,26303,0,19
beam-walk,p03,asp-5,14.01,80735,50637,187,320768,84524,1,31
beam-walk,p03,asp-5,1.15,12738,7029,30,206253,60094,0,25
beam-walk,p03,asp-5,0.0,0,1,0,6,765,0,3
beam-walk,p03,asp-5,0.0,180,51,0,13030,3629,0,7
beam-walk,p03,asp-5,0.42,4608,2493,14,147259,46657,0,21
beam-walk,p03,asp-5,0.22,3698,1807,13,134546,43650,0,20
beam-walk,p03,asp-5,0.0,118,37,0,9424,2682,0,6
beam-walk,p03,asp-5,0.0,90,31,0,3836,1223,0,4
beam-walk,p03,asp-5,0.54,7819,4519,28,160757,49793,0,22
beam-walk,p03,asp-5,0.38,5649,2978,17,175111,53101,0,23
beam-walk,p03,asp-5,0.0,151,49,0,6410,1880,0,5
beam-walk,p03,asp-5,0.0,232,30,0,17239,4721,0,8
beam-walk,p03,asp-5,0.02,655,243,2,40425,10539,0,12
beam-walk,p03,asp-5,0.02,674,277,2,47884,12356,0,13
beam-walk,p03,asp-5,0.0,283,75,1,22068,5958,0,9
beam-walk,p03,asp-5,0.01,440,127,1,33646,8867,0,11
beam-walk,p03,asp-5,0.01,380,97,1,27532,7340,0,10
beam-walk,p03,asp-5,3.85,35308,21391,85,259429,71654,0,28
beam-walk,p03,asp-5,0.02,1418,284,3,56038,14318,0,14
beam-walk,p03,asp-5,0.05,1373,607,6,64902,16425,0,15
beam-walk,p03,asp-5,6.97,52342,32599,125,279014,75826,0,29
