scenario,instance,solver,total-time,ground-time,solve-time,states
spiky-tireworld,p09,asp-opt-8,13070.574999999999,142.19500000000056,12928.380000000001,23
spiky-tireworld,p09,asp-plus-opt-1,11437.728,110.47800000000032,11327.25,23
spiky-tireworld,p09,fondsat-minisat,19803.751795,107.6175898713991,19680.292522,23
spiky-tireworld,p09,asp-opt-4,48735.869000000006,175.90899999999857,48559.95999999999,23
spiky-tireworld,p09,asp-1,44836.643000000004,120.15300000000089,44716.49,23
spiky-tireworld,p09,fondsat-glucose,2349.666464,124.73588403267786,2202.287994,23
spiky-tireworld,p09,asp-opt-1,47068.320999999996,198.69100000000282,46869.63,23
spiky-tireworld,p09,asp-4,49876.35999999999,175.25000000000247,49701.11,23
spiky-tireworld,p09,asp-8,17782.415,162.90500000000088,17619.510000000002,23
spiky-tireworld,p01,asp-opt-8,1428.3749999999998,41.23499999999998,1387.14,23
spiky-tireworld,p01,asp-plus-opt-1,845.5709999999999,31.201000000000008,814.37,23
spiky-tireworld,p01,fondsat-minisat,4067.184676,36.6148298420012,4021.512968,23
spiky-tireworld,p01,asp-opt-4,1897.184,48.70400000000008,1848.4799999999998,23
spiky-tireworld,p01,asp-1,5178.678,39.508000000000244,5139.17,23
spiky-tireworld,p01,fondsat-glucose,613.61141,34.786013178527355,573.214325,23
spiky-tireworld,p01,asp-opt-1,5993.228,53.917999999999935,5939.3099999999995,23
spiky-tireworld,p01,asp-4,4312.906000000001,36.975999999999715,4275.930000000001,23
spiky-tireworld,p01,asp-8,2341.8360000000002,36.376000000000175,2305.46,23
spiky-tireworld,p05,asp-opt-8,6688.167000000001,85.85699999999973,6602.31,23
spiky-tireworld,p05,asp-plus-opt-1,4718.597,70.73700000000035,4647.86,23
spiky-tireworld,p05,fondsat-minisat,7502.366781,74.8399040340446,7415.454251,23
spiky-tireworld,p05,asp-opt-4,11531.26,106.61000000000038,11424.650000000001,23
spiky-tireworld,p05,asp-1,47839.79,115.34000000000137,47724.450000000004,23
spiky-tireworld,p05,fondsat-glucose,1326.036104,84.32430292805657,1222.626564,23
spiky-tireworld,p05,asp-opt-1,38301.74899999999,119.05899999999951,38182.69,23
spiky-tireworld,p05,asp-4,20531.713,70.39300000000192,20461.32,23
spiky-tireworld,p05,asp-8,6312.3589999999995,70.33899999999991,6242.02,23
spiky-tireworld,p07,asp-opt-8,9795.231000000002,123.2710000000001,9671.960000000001,23
spiky-tireworld,p07,asp-plus-opt-1,10164.156000000003,93.06599999999992,10071.09,23
spiky-tireworld,p07,fondsat-minisat,9029.808617,92.19052587728947,8921.043429,23
spiky-tireworld,p07,asp-opt-4,25308.398,130.73800000000028,25177.660000000003,23
spiky-tireworld,p07,asp-1,45730.782999999996,98.20299999999907,45632.58,23
spiky-tireworld,p07,fondsat-glucose,1192.364073,94.95036467863247,1081.203381,23
spiky-tireworld,p07,asp-opt-1,31506.811000000005,147.7510000000009,31359.06,23
spiky-tireworld,p07,asp-4,25967.467000000004,91.05699999999979,25876.409999999996,23
spiky-tireworld,p07,asp-8,14078.062,98.26200000000014,13979.8,23
spiky-tireworld,p11,fondsat-glucose,27032.253324,263.78618763340637,26734.425279,27
spiky-tireworld,p02,asp-opt-8,2748.1429999999996,50.43299999999991,2697.7100000000005,23
spiky-tireworld,p02,asp-plus-opt-1,2085.882,38.661999999999935,2047.2199999999998,23
spiky-tireworld,p02,fondsat-minisat,4081.285561,48.859570594504476,4020.877125,23
spiky-tireworld,p02,asp-opt-4,4204.659000000001,54.22900000000008,4150.43,23
spiky-tireworld,p02,asp-1,9865.789999999999,66.4199999999998,9799.37,23
spiky-tireworld,p02,fondsat-glucose,469.077833,47.6115689529106,411.392164,23
spiky-tireworld,p02,asp-opt-1,8307.142,63.84199999999963,8243.300000000001,23
spiky-tireworld,p02,asp-4,7401.914999999999,48.89500000000038,7353.020000000001,23
spiky-tireworld,p02,asp-8,3732.102,49.76199999999987,3682.3400000000006,23
spiky-tireworld,p10,asp-opt-8,17192.924000000003,156.4940000000007,17036.43,23
spiky-tireworld,p10,asp-plus-opt-1,16626.551,124.94099999999933,16501.61,23
spiky-tireworld,p10,fondsat-minisat,18355.392505,109.61810437776148,18228.366409,23
spiky-tireworld,p10,asp-opt-4,41239.867999999995,185.18800000000084,41054.67999999999,23
spiky-tireworld,p10,fondsat-glucose,2442.712149,162.98221591720358,2248.214113,23
spiky-tireworld,p10,asp-opt-1,58856.656,225.20599999999956,58631.450000000004,23
spiky-tireworld,p10,asp-8,20569.59,171.77000000000004,20397.82,23
spiky-tireworld,p08,asp-opt-8,10071.022,128.162000000001,9942.859999999999,23
spiky-tireworld,p08,asp-plus-opt-1,8475.608000000002,103.06800000000017,8372.540000000003,23
spiky-tireworld,p08,fondsat-minisat,11820.645047,91.93564273463562,11707.475223,23
spiky-tireworld,p08,asp-opt-4,27561.022999999997,169.3530000000003,27391.67,23
spiky-tireworld,p08,asp-1,37597.258,105.50800000000314,37491.75000000001,23
spiky-tireworld,p08,fondsat-glucose,1963.004485,114.09689658461139,1830.930241,23
spiky-tireworld,p08,asp-opt-1,37532.941000000006,132.33100000000033,37400.61000000001,23
spiky-tireworld,p08,asp-4,48712.197,128.09700000000018,48584.1,23
spiky-tireworld,p08,asp-8,17152.079999999998,144.6199999999999,17007.459999999995,23
spiky-tireworld,p06,asp-opt-8,7275.700000000002,102.2200000000003,7173.4800000000005,23
