,domain,planner,count,total_count,coverage
0,acrobatics,asp2-reg-4h,4,8,50.0
1,acrobatics,asp2-reg-kb-4h,4,8,50.0
2,acrobatics,asp2-reg-undo-4h,4,8,50.0
3,acrobatics,glucose-4h,4,8,50.0
4,acrobatics,minisat-4h,3,8,37.5
5,acrobatics,paladinus-4h,8,8,100.0
6,acrobatics,prp-4h,8,8,100.0
7,beam-walk,glucose-4h,3,11,27.27
8,beam-walk,minisat-4h,2,11,18.18
9,beam-walk,paladinus-4h,9,11,81.82
10,beam-walk,prp-4h,11,11,100.0
11,blocksworld,asp2-reg-undo-4h,10,70,14.29
12,blocksworld,glucose-4h,20,70,28.57
13,blocksworld,minisat-4h,18,70,25.71
14,blocksworld,paladinus-4h,15,70,21.43
15,blocksworld,prp-4h,70,70,100.0
16,chain-of-rooms,glucose-4h,1,10,10.0
17,chain-of-rooms,paladinus-4h,6,10,60.0
18,chain-of-rooms,prp-4h,10,10,100.0
19,doors,asp1-reg-4h,14,15,93.33
20,doors,asp2-reg-4h,15,15,100.0
21,doors,glucose-4h,15,15,100.0
22,doors,minisat-4h,10,15,66.67
23,doors,paladinus-4h,14,15,93.33
24,doors,prp-4h,15,15,100.0
25,earth_observation,glucose-4h,10,40,25.0
26,earth_observation,minisat-4h,6,40,15.0
27,earth_observation,paladinus-4h,10,40,25.0
28,earth_observation,prp-4h,40,40,100.0
29,elevators,asp1-reg-4h,7,15,46.67
30,elevators,asp2-reg-4h,7,15,46.67
31,elevators,asp2-reg-undo-4h,7,15,46.67
32,elevators,glucose-4h,7,15,46.67
33,elevators,minisat-4h,7,15,46.67
34,elevators,paladinus-4h,7,15,46.67
35,elevators,prp-4h,15,15,100.0
36,faults-ipc08,glucose-4h,38,55,69.09
37,faults-ipc08,minisat-4h,28,55,50.91
38,faults-ipc08,paladinus-4h,47,55,85.45
39,faults-ipc08,prp-4h,55,55,100.0
40,first-responders-ipc08,asp1-reg-4h,11,73,15.07
41,first-responders-ipc08,asp2-reg-4h,11,73,15.07
42,first-responders-ipc08,asp2-reg-undo-4h,11,73,15.07
43,first-responders-ipc08,glucose-4h,49,73,67.12
44,first-responders-ipc08,minisat-4h,40,73,54.79
45,first-responders-ipc08,paladinus-4h,28,73,38.36
46,first-responders-ipc08,prp-4h,73,73,100.0
47,islands,asp1-reg-4h,60,60,100.0
48,islands,asp2-reg-4h,60,60,100.0
49,islands,asp2-reg-undo-4h,60,60,100.0
50,islands,glucose-4h,57,60,95.0
51,islands,minisat-4h,60,60,100.0
52,islands,paladinus-4h,48,60,80.0
53,islands,prp-4h,31,60,51.67
54,miner,asp1-reg-4h,50,50,100.0
55,miner,asp2-reg-4h,50,50,100.0
56,miner,asp2-reg-kb-4h,49,50,98.0
57,miner,asp2-reg-undo-4h,49,50,98.0
58,miner,glucose-4h,50,50,100.0
59,miner,minisat-4h,50,50,100.0
60,miner,paladinus-4h,44,50,88.0
61,miner,prp-4h,13,50,26.0
62,spiky-tireworld,asp1-reg-4h,9,11,81.82
63,spiky-tireworld,asp2-reg-4h,9,11,81.82
64,spiky-tireworld,asp2-reg-kb-4h,11,11,100.0
65,spiky-tireworld,asp2-reg-undo-4h,11,11,100.0
66,spiky-tireworld,glucose-4h,10,11,90.91
67,spiky-tireworld,minisat-4h,7,11,63.64
68,spiky-tireworld,paladinus-4h,10,11,90.91
69,spiky-tireworld,prp-4h,2,11,18.18
70,tireworld,glucose-4h,11,11,100.0
71,tireworld,minisat-4h,11,11,100.0
72,tireworld,paladinus-4h,11,11,100.0
73,tireworld,prp-4h,11,11,100.0
74,tireworld-truck,asp1-reg-4h,74,74,100.0
75,tireworld-truck,asp2-reg-4h,74,74,100.0
76,tireworld-truck,asp2-reg-undo-4h,74,74,100.0
77,tireworld-truck,glucose-4h,74,74,100.0
78,tireworld-truck,minisat-4h,69,74,93.24
79,tireworld-truck,paladinus-4h,56,74,75.68
80,tireworld-truck,prp-4h,24,74,32.43
81,triangle-tireworld,asp2-reg-kb-4h,5,40,12.5
82,triangle-tireworld,glucose-4h,5,40,12.5
83,triangle-tireworld,minisat-4h,2,40,5.0
84,triangle-tireworld,paladinus-4h,5,40,12.5
85,triangle-tireworld,prp-4h,40,40,100.0
86,zenotravel,glucose-4h,5,15,33.33
87,zenotravel,minisat-4h,5,15,33.33
88,zenotravel,paladinus-4h,5,15,33.33
89,zenotravel,prp-4h,15,15,100.0
