,domain,instance,planner,type,solved,SAT,time,memory,timeout,memoryout,policysize
299,miner,p50,asp1,asp,True,True,1235.7494857823476,1733.16015625,False,False,24
311,miner,p20,asp1,asp,True,True,293.8605462787673,864.44921875,False,False,19
323,miner,p35,asp1,asp,True,True,454.1182833388448,844.28515625,False,False,18
335,miner,p48,asp1,asp,True,True,1406.0458443220705,1876.68359375,False,False,24
347,miner,p22,asp1,asp,True,True,712.4854232063517,812.71875,False,False,26
359,miner,p29,asp1,asp,True,True,362.94901069346815,942.64453125,False,False,19
371,miner,p25,asp1,asp,True,True,292.31775173638016,774.71484375,False,False,20
383,miner,p44,asp1,asp,True,True,820.7416638405994,977.0234375,False,False,22
395,miner,p01,asp1,asp,True,True,8.003155842423439,0.8671875,False,False,18
407,miner,p17,asp1,asp,True,True,171.80228779558092,683.01953125,False,False,18
419,miner,p13,asp1,asp,True,True,40.30424060020596,317.30859375,False,False,17
431,miner,p16,asp1,asp,True,True,123.8768472345546,684.22265625,False,False,16
443,miner,p14,asp1,asp,True,True,112.05514223780484,566.05859375,False,False,19
455,miner,p03,asp1,asp,True,True,8.786440437659621,1.59375,False,False,14
467,miner,p18,asp1,asp,True,True,147.55189700238407,502.58203125,False,False,19
479,miner,p26,asp1,asp,True,True,290.84875347837806,828.94921875,False,False,19
491,miner,p30,asp1,asp,True,True,226.4709233865142,732.17578125,False,False,17
503,miner,p27,asp1,asp,True,True,664.074831915088,837.0390625,False,False,22
515,miner,p42,asp1,asp,True,True,716.6422183411196,959.90234375,False,False,21
527,miner,p36,asp1,asp,True,True,375.1268317997456,795.109375,False,False,19
539,miner,p41,asp1,asp,True,True,732.2058934681118,989.50390625,False,False,22
551,miner,p49,asp1,asp,True,True,2485.657979943789,2076.59765625,False,False,28
563,miner,p24,asp1,asp,True,True,692.252992532216,923.73046875,False,False,22
575,miner,p07,asp1,asp,True,True,90.42658209986983,486.11328125,False,False,20
587,miner,p09,asp1,asp,True,True,92.08940293826164,520.125,False,False,19
599,miner,p23,asp1,asp,True,True,468.6973366308957,831.1328125,False,False,22
611,miner,p12,asp1,asp,True,True,35.97533813957125,133.66796875,False,False,17
623,miner,p08,asp1,asp,True,True,66.78981255367398,426.43359375,False,False,18
635,miner,p15,asp1,asp,True,True,120.85414985287936,589.8359375,False,False,20
647,miner,p47,asp1,asp,True,True,1894.94960244,2036.30078125,False,False,25
659,miner,p02,asp1,asp,True,True,6.3409591084346175,1.37890625,False,False,15
671,miner,p10,asp1,asp,True,True,59.381202541291714,290.203125,False,False,17
683,miner,p38,asp1,asp,True,True,959.6140496330336,1303.09375,False,False,22
695,miner,p40,asp1,asp,True,True,853.3861918635666,1083.08203125,False,False,23
707,miner,p46,asp1,asp,True,True,1912.5247073322528,1857.140625,False,False,26
719,miner,p32,asp1,asp,True,True,1182.983535555191,1254.91015625,False,False,24
731,miner,p05,asp1,asp,True,True,37.75333038344979,257.66015625,False,False,19
743,miner,p34,asp1,asp,True,True,499.4331638272852,872.64453125,False,False,20
755,miner,p33,asp1,asp,True,True,698.7664341488853,969.3984375,False,False,22
767,miner,p45,asp1,asp,True,True,2964.1350514972582,2625.65234375,False,False,28
779,miner,p28,asp1,asp,True,True,484.0132472170517,840.25,False,False,22
791,miner,p43,asp1,asp,True,True,969.1658653272316,1245.96875,False,False,22
803,miner,p39,asp1,asp,True,True,1247.0292265443131,1495.8359375,False,False,24
815,miner,p21,asp1,asp,True,True,481.8739567911253,830.24609375,False,False,23
827,miner,p11,asp1,asp,True,True,68.41043238062412,366.7890625,False,False,19
839,miner,p51,asp1,asp,True,True,2028.2861346472048,2911.625,False,False,25
851,miner,p31,asp1,asp,True,True,262.6280677700415,753.9296875,False,False,19
863,miner,p37,asp1,asp,True,True,598.574998353608,883.65234375,False,False,21
875,miner,p19,asp1,asp,True,True,381.5656573530287,840.73828125,False,False,21
887,miner,p04,asp1,asp,True,True,37.37904366385192,275.16796875,False,False,17
898,doors,p06,asp1,asp,True,True,18.836074385792017,0.97265625,False,False,15
906,doors,p01,asp1,asp,True,True,1.4159750612452626,1.7578125,False,False,5
914,doors,p13,asp1,asp,True,True,10670.926842508838,262.38671875,False,False,29
922,doors,p14,asp1,asp,True,True,14263.716849017888,312.86328125,False,False,31
930,doors,p03,asp1,asp,True,True,1.634621163830161,0.96484375,False,False,9
938,doors,p07,asp1,asp,True,True,63.67994683329016,109.94921875,False,False,17
946,doors,p09,asp1,asp,True,True,466.0282586691901,143.1640625,False,False,21
954,doors,p12,asp1,asp,True,True,4466.685965205543,225.84375,False,False,27
962,doors,p08,asp1,asp,True,True,153.80949645955116,125.07421875,False,False,19
977,doors,p02,asp1,asp,True,True,1.4249023105949163,1.078125,False,False,7
985,doors,p10,asp1,asp,True,True,816.5428125178441,163.546875,False,False,23
993,doors,p05,asp1,asp,True,True,5.223545227199793,1.33984375,False,False,13
1001,doors,p11,asp1,asp,True,True,2513.2376899197698,194.64453125,False,False,25
1009,doors,p04,asp1,asp,True,True,2.484026921913028,1.6171875,False,False,11
1329,elevators,p06,asp1,asp,True,True,606.1454417062923,131.8046875,False,False,23
1339,elevators,p01,asp1,asp,True,True,3.979595458135009,1.24609375,False,False,14
1363,elevators,p03,asp1,asp,True,True,7.417791613377631,1.05078125,False,False,16
1373,elevators,p07,asp1,asp,True,True,1010.485727726482,129.16015625,False,False,23
1416,elevators,p02,asp1,asp,True,True,1.6437452947720883,1.25,False,False,9
1433,elevators,p05,asp1,asp,True,True,2.270101709291339,0.77734375,False,False,12
1450,elevators,p04,asp1,asp,True,True,3.223363570868969,0.91015625,False,False,14
1760,islands,p50,asp1,asp,True,True,13.442740966565909,1.328125,False,False,12
1770,islands,p20,asp1,asp,True,True,2.0729787573218346,0.97265625,False,False,6
1780,islands,p35,asp1,asp,True,True,17.22562061343342,1.12109375,False,False,8
1790,islands,p48,asp1,asp,True,True,142.85228431690484,290.43359375,False,False,10
1800,islands,p22,asp1,asp,True,True,2.6481482535600662,1.18359375,False,False,6
1810,islands,p29,asp1,asp,True,True,3.9919400857761502,1.05859375,False,False,8
1820,islands,p25,asp1,asp,True,True,1.310043316334486,1.00390625,False,False,8
1830,islands,p44,asp1,asp,True,True,47.03272387012839,193.91015625,False,False,10
1840,islands,p58,asp1,asp,True,True,500.0363270277157,489.08203125,False,False,12
1850,islands,p06,asp1,asp,True,True,1.186261696740985,1.07421875,False,False,4
1860,islands,p01,asp1,asp,True,True,1.275154784321785,1.1875,False,False,4
1870,islands,p17,asp1,asp,True,True,1.5264834500849247,1.59375,False,False,6
1880,islands,p13,asp1,asp,True,True,1.202894041314721,1.140625,False,False,6
1890,islands,p16,asp1,asp,True,True,1.196575072593987,1.74609375,False,False,6
1900,islands,p14,asp1,asp,True,True,1.1756974020972848,1.1328125,False,False,6
1910,islands,p03,asp1,asp,True,True,1.0240751830860972,1.18359375,False,False,4
1920,islands,p18,asp1,asp,True,True,1.664129203185439,1.38671875,False,False,6
1930,islands,p26,asp1,asp,True,True,1.7000837977975607,1.4140625,False,False,8
1940,islands,p30,asp1,asp,True,True,5.156465991400182,1.09765625,False,False,8
1950,islands,p27,asp1,asp,True,True,2.1890316559001803,1.58984375,False,False,8
1960,islands,p52,asp1,asp,True,True,55.167011721991,197.63671875,False,False,12
1970,islands,p42,asp1,asp,True,True,24.06612480524928,0.91796875,False,False,10
1980,islands,p36,asp1,asp,True,True,21.48128766007721,0.99609375,False,False,8
1990,islands,p56,asp1,asp,True,True,282.5747492844239,389.90625,False,False,12
2000,islands,p41,asp1,asp,True,True,15.56004785373807,1.0546875,False,False,10
2010,islands,p49,asp1,asp,True,True,4.396681395359337,1.05859375,False,False,12
