scenario,id,domain,problem
triangle-tireworld,p01,./benchmarking/problems/triangle-tireworld/domain.pddl,./benchmarking/problems/triangle-tireworld/p01.pddl
triangle-tireworld,p02,./benchmarking/problems/triangle-tireworld/domain.pddl,./benchmarking/problems/triangle-tireworld/p02.pddl
triangle-tireworld,p03,./benchmarking/problems/triangle-tireworld/domain.pddl,./benchmarking/problems/triangle-tireworld/p03.pddl
triangle-tireworld,p04,./benchmarking/problems/triangle-tireworld/domain.pddl,./benchmarking/problems/triangle-tireworld/p04.pddl
triangle-tireworld,p05,./benchmarking/problems/triangle-tireworld/domain.pddl,./benchmarking/problems/triangle-tireworld/p05.pddl
triangle-tireworld,p06,./benchmarking/problems/triangle-tireworld/domain.pddl,./benchmarking/problems/triangle-tireworld/p06.pddl
triangle-tireworld,p07,./benchmarking/problems/triangle-tireworld/domain.pddl,./benchmarking/problems/triangle-tireworld/p07.pddl
triangle-tireworld,p08,./benchmarking/problems/triangle-tireworld/domain.pddl,./benchmarking/problems/triangle-tireworld/p08.pddl
triangle-tireworld,p09,./benchmarking/problems/triangle-tireworld/domain.pddl,./benchmarking/problems/triangle-tireworld/p09.pddl
triangle-tireworld,p10,./benchmarking/problems/triangle-tireworld/domain.pddl,./benchmarking/problems/triangle-tireworld/p10.pddl
triangle-tireworld,p11,./benchmarking/problems/triangle-tireworld/domain.pddl,./benchmarking/problems/triangle-tireworld/p11.pddl
triangle-tireworld,p12,./benchmarking/problems/triangle-tireworld/domain.pddl,./benchmarking/problems/triangle-tireworld/p12.pddl
triangle-tireworld,p13,./benchmarking/problems/triangle-tireworld/domain.pddl,./benchmarking/problems/triangle-tireworld/p13.pddl
triangle-tireworld,p14,./benchmarking/problems/triangle-tireworld/domain.pddl,./benchmarking/problems/triangle-tireworld/p14.pddl
triangle-tireworld,p15,./benchmarking/problems/triangle-tireworld/domain.pddl,./benchmarking/problems/triangle-tireworld/p15.pddl
triangle-tireworld,p16,./benchmarking/problems/triangle-tireworld/domain.pddl,./benchmarking/problems/triangle-tireworld/p16.pddl
triangle-tireworld,p17,./benchmarking/problems/triangle-tireworld/domain.pddl,./benchmarking/problems/triangle-tireworld/p17.pddl
triangle-tireworld,p18,./benchmarking/problems/triangle-tireworld/domain.pddl,./benchmarking/problems/triangle-tireworld/p18.pddl
triangle-tireworld,p19,./benchmarking/problems/triangle-tireworld/domain.pddl,./benchmarking/problems/triangle-tireworld/p19.pddl
triangle-tireworld,p20,./benchmarking/problems/triangle-tireworld/domain.pddl,./benchmarking/problems/triangle-tireworld/p20.pddl
triangle-tireworld,p21,./benchmarking/problems/triangle-tireworld/domain.pddl,./benchmarking/problems/triangle-tireworld/p21.pddl
triangle-tireworld,p22,./benchmarking/problems/triangle-tireworld/domain.pddl,./benchmarking/problems/triangle-tireworld/p22.pddl
triangle-tireworld,p23,./benchmarking/problems/triangle-tireworld/domain.pddl,./benchmarking/problems/triangle-tireworld/p23.pddl
triangle-tireworld,p24,./benchmarking/problems/triangle-tireworld/domain.pddl,./benchmarking/problems/triangle-tireworld/p24.pddl
triangle-tireworld,p25,./benchmarking/problems/triangle-tireworld/domain.pddl,./benchmarking/problems/triangle-tireworld/p25.pddl
triangle-tireworld,p26,./benchmarking/problems/triangle-tireworld/domain.pddl,./benchmarking/problems/triangle-tireworld/p26.pddl
triangle-tireworld,p27,./benchmarking/problems/triangle-tireworld/domain.pddl,./benchmarking/problems/triangle-tireworld/p27.pddl
triangle-tireworld,p28,./benchmarking/problems/triangle-tireworld/domain.pddl,./benchmarking/problems/triangle-tireworld/p28.pddl
triangle-tireworld,p29,./benchmarking/problems/triangle-tireworld/domain.pddl,./benchmarking/problems/triangle-tireworld/p29.pddl
triangle-tireworld,p30,./benchmarking/problems/triangle-tireworld/domain.pddl,./benchmarking/problems/triangle-tireworld/p30.pddl
triangle-tireworld,p31,./benchmarking/problems/triangle-tireworld/domain.pddl,./benchmarking/problems/triangle-tireworld/p31.pddl
triangle-tireworld,p32,./benchmarking/problems/triangle-tireworld/domain.pddl,./benchmarking/problems/triangle-tireworld/p32.pddl
triangle-tireworld,p33,./benchmarking/problems/triangle-tireworld/domain.pddl,./benchmarking/problems/triangle-tireworld/p33.pddl
triangle-tireworld,p34,./benchmarking/problems/triangle-tireworld/domain.pddl,./benchmarking/problems/triangle-tireworld/p34.pddl
triangle-tireworld,p35,./benchmarking/problems/triangle-tireworld/domain.pddl,./benchmarking/problems/triangle-tireworld/p35.pddl
triangle-tireworld,p36,./benchmarking/problems/triangle-tireworld/domain.pddl,./benchmarking/problems/triangle-tireworld/p36.pddl
triangle-tireworld,p37,./benchmarking/problems/triangle-tireworld/domain.pddl,./benchmarking/problems/triangle-tireworld/p37.pddl
triangle-tireworld,p38,./benchmarking/problems/triangle-tireworld/domain.pddl,./benchmarking/problems/triangle-tireworld/p38.pddl
triangle-tireworld,p39,./benchmarking/problems/triangle-tireworld/domain.pddl,./benchmarking/problems/triangle-tireworld/p39.pddl
triangle-tireworld,p40,./benchmarking/problems/triangle-tireworld/domain.pddl,./benchmarking/problems/triangle-tireworld/p40.pddl
blocksworld-new,p1,./benchmarking/problems/blocksworld-new/domain.pddl,./benchmarking/problems/blocksworld-new/p1.pddl
blocksworld-new,p2,./benchmarking/problems/blocksworld-new/domain.pddl,./benchmarking/problems/blocksworld-new/p2.pddl
blocksworld-new,p3,./benchmarking/problems/blocksworld-new/domain.pddl,./benchmarking/problems/blocksworld-new/p3.pddl
blocksworld-new,p4,./benchmarking/problems/blocksworld-new/domain.pddl,./benchmarking/problems/blocksworld-new/p4.pddl
blocksworld-new,p5,./benchmarking/problems/blocksworld-new/domain.pddl,./benchmarking/problems/blocksworld-new/p5.pddl
blocksworld-new,p6,./benchmarking/problems/blocksworld-new/domain.pddl,./benchmarking/problems/blocksworld-new/p6.pddl
blocksworld-new,p7,./benchmarking/problems/blocksworld-new/domain.pddl,./benchmarking/problems/blocksworld-new/p7.pddl
blocksworld-new,p8,./benchmarking/problems/blocksworld-new/domain.pddl,./benchmarking/problems/blocksworld-new/p8.pddl
blocksworld-new,p9,./benchmarking/problems/blocksworld-new/domain.pddl,./benchmarking/problems/blocksworld-new/p9.pddl
blocksworld-new,p10,./benchmarking/problems/blocksworld-new/domain.pddl,./benchmarking/problems/blocksworld-new/p10.pddl
blocksworld-new,p11,./benchmarking/problems/blocksworld-new/domain.pddl,./benchmarking/problems/blocksworld-new/p11.pddl
blocksworld-new,p12,./benchmarking/problems/blocksworld-new/domain.pddl,./benchmarking/problems/blocksworld-new/p12.pddl
blocksworld-new,p13,./benchmarking/problems/blocksworld-new/domain.pddl,./benchmarking/problems/blocksworld-new/p13.pddl
blocksworld-new,p14,./benchmarking/problems/blocksworld-new/domain.pddl,./benchmarking/problems/blocksworld-new/p14.pddl
blocksworld-new,p15,./benchmarking/problems/blocksworld-new/domain.pddl,./benchmarking/problems/blocksworld-new/p15.pddl
blocksworld-new,p16,./benchmarking/problems/blocksworld-new/domain.pddl,./benchmarking/problems/blocksworld-new/p16.pddl
blocksworld-new,p17,./benchmarking/problems/blocksworld-new/domain.pddl,./benchmarking/problems/blocksworld-new/p17.pddl
blocksworld-new,p18,./benchmarking/problems/blocksworld-new/domain.pddl,./benchmarking/problems/blocksworld-new/p18.pddl
blocksworld-new,p19,./benchmarking/problems/blocksworld-new/domain.pddl,./benchmarking/problems/blocksworld-new/p19.pddl
blocksworld-new,p20,./benchmarking/problems/blocksworld-new/domain.pddl,./benchmarking/problems/blocksworld-new/p20.pddl
blocksworld-new,p21,./benchmarking/problems/blocksworld-new/domain.pddl,./benchmarking/problems/blocksworld-new/p21.pddl
blocksworld-new,p22,./benchmarking/problems/blocksworld-new/domain.pddl,./benchmarking/problems/blocksworld-new/p22.pddl
blocksworld-new,p23,./benchmarking/problems/blocksworld-new/domain.pddl,./benchmarking/problems/blocksworld-new/p23.pddl
blocksworld-new,p24,./benchmarking/problems/blocksworld-new/domain.pddl,./benchmarking/problems/blocksworld-new/p24.pddl
blocksworld-new,p25,./benchmarking/problems/blocksworld-new/domain.pddl,./benchmarking/problems/blocksworld-new/p25.pddl
blocksworld-new,p26,./benchmarking/problems/blocksworld-new/domain.pddl,./benchmarking/problems/blocksworld-new/p26.pddl
blocksworld-new,p27,./benchmarking/problems/blocksworld-new/domain.pddl,./benchmarking/problems/blocksworld-new/p27.pddl
blocksworld-new,p28,./benchmarking/problems/blocksworld-new/domain.pddl,./benchmarking/problems/blocksworld-new/p28.pddl
blocksworld-new,p29,./benchmarking/problems/blocksworld-new/domain.pddl,./benchmarking/problems/blocksworld-new/p29.pddl
blocksworld-new,p30,./benchmarking/problems/blocksworld-new/domain.pddl,./benchmarking/problems/blocksworld-new/p30.pddl
blocksworld-new,p31,./benchmarking/problems/blocksworld-new/domain.pddl,./benchmarking/problems/blocksworld-new/p31.pddl
blocksworld-new,p32,./benchmarking/problems/blocksworld-new/domain.pddl,./benchmarking/problems/blocksworld-new/p32.pddl
blocksworld-new,p33,./benchmarking/problems/blocksworld-new/domain.pddl,./benchmarking/problems/blocksworld-new/p33.pddl
blocksworld-new,p34,./benchmarking/problems/blocksworld-new/domain.pddl,./benchmarking/problems/blocksworld-new/p34.pddl
blocksworld-new,p35,./benchmarking/problems/blocksworld-new/domain.pddl,./benchmarking/problems/blocksworld-new/p35.pddl
blocksworld-new,p36,./benchmarking/problems/blocksworld-new/domain.pddl,./benchmarking/problems/blocksworld-new/p36.pddl
blocksworld-new,p37,./benchmarking/problems/blocksworld-new/domain.pddl,./benchmarking/problems/blocksworld-new/p37.pddl
blocksworld-new,p38,./benchmarking/problems/blocksworld-new/domain.pddl,./benchmarking/problems/blocksworld-new/p38.pddl
blocksworld-new,p39,./benchmarking/problems/blocksworld-new/domain.pddl,./benchmarking/problems/blocksworld-new/p39.pddl
blocksworld-new,p40,./benchmarking/problems/blocksworld-new/domain.pddl,./benchmarking/problems/blocksworld-new/p40.pddl
beam-walk,p01,./benchmarking/problems/beam-walk/domain.pddl,./benchmarking/problems/beam-walk/p01.pddl
beam-walk,p02,./benchmarking/problems/beam-walk/domain.pddl,./benchmarking/problems/beam-walk/p02.pddl
beam-walk,p03,./benchmarking/problems/beam-walk/domain.pddl,./benchmarking/problems/beam-walk/p03.pddl
beam-walk,p04,./benchmarking/problems/beam-walk/domain.pddl,./benchmarking/problems/beam-walk/p04.pddl
beam-walk,p05,./benchmarking/problems/beam-walk/domain.pddl,./benchmarking/problems/beam-walk/p05.pddl
beam-walk,p06,./benchmarking/problems/beam-walk/domain.pddl,./benchmarking/problems/beam-walk/p06.pddl
beam-walk,p07,./benchmarking/problems/beam-walk/domain.pddl,./benchmarking/problems/beam-walk/p07.pddl
beam-walk,p08,./benchmarking/problems/beam-walk/domain.pddl,./benchmarking/problems/beam-walk/p08.pddl
beam-walk,p09,./benchmarking/problems/beam-walk/domain.pddl,./benchmarking/problems/beam-walk/p09.pddl
beam-walk,p10,./benchmarking/problems/beam-walk/domain.pddl,./benchmarking/problems/beam-walk/p10.pddl
beam-walk,p11,./benchmarking/problems/beam-walk/domain.pddl,./benchmarking/problems/beam-walk/p11.pddl
blocksworld-ipc08,p01,./benchmarking/problems/blocksworld-ipc08/domain.pddl,./benchmarking/problems/blocksworld-ipc08/p01.pddl
blocksworld-ipc08,p02,./benchmarking/problems/blocksworld-ipc08/domain.pddl,./benchmarking/problems/blocksworld-ipc08/p02.pddl
blocksworld-ipc08,p03,./benchmarking/problems/blocksworld-ipc08/domain.pddl,./benchmarking/problems/blocksworld-ipc08/p03.pddl
blocksworld-ipc08,p04,./benchmarking/problems/blocksworld-ipc08/domain.pddl,./benchmarking/problems/blocksworld-ipc08/p04.pddl
blocksworld-ipc08,p05,./benchmarking/problems/blocksworld-ipc08/domain.pddl,./benchmarking/problems/blocksworld-ipc08/p05.pddl
blocksworld-ipc08,p06,./benchmarking/problems/blocksworld-ipc08/domain.pddl,./benchmarking/problems/blocksworld-ipc08/p06.pddl
