domain,instance,planner,status,time
domain_1,p1,PLN_1,1,696.853460246388
domain_1,p2,PLN_1,1,937.635542893674
domain_1,p3,PLN_1,1,859.808497063841
domain_1,p4,PLN_1,1,956.171513837123
domain_1,p5,PLN_1,1,940.861330914696
domain_1,p6,PLN_1,1,987.698655947538
domain_1,p7,PLN_1,1,1035.17954074212
domain_1,p8,PLN_1,1,950.456002157257
domain_1,p9,PLN_1,1,797.099476990923
domain_1,p10,PLN_1,1,874.812547986277
domain_1,p11,PLN_1,1,885.118251781368
domain_1,p12,PLN_1,1,905.266200177649
domain_1,p13,PLN_1,1,709.965464877612
domain_1,p14,PLN_1,1,795.758907392545
domain_1,p15,PLN_1,1,883.371744897991
domain_1,p16,PLN_1,1,768.681947928564
domain_1,p17,PLN_1,1,1162.23636481033
domain_1,p18,PLN_1,1,690.712989896449
domain_1,p19,PLN_1,1,1141.60674058688
domain_1,p20,PLN_1,1,1127.14413024392
domain_1,p21,PLN_1,0,-1
domain_1,p22,PLN_1,0,-1
domain_1,p23,PLN_1,0,-1
domain_1,p24,PLN_1,0,-1
domain_1,p25,PLN_1,0,-1
domain_1,p26,PLN_1,0,-1
domain_1,p27,PLN_1,0,-1
domain_1,p28,PLN_1,0,-1
domain_1,p29,PLN_1,0,-1
domain_1,p30,PLN_1,0,-1
domain_1,p31,PLN_1,0,-1
domain_1,p32,PLN_1,0,-1
domain_1,p33,PLN_1,0,-1
domain_1,p34,PLN_1,0,-1
domain_1,p35,PLN_1,0,-1
domain_1,p36,PLN_1,0,-1
domain_1,p37,PLN_1,0,-1
domain_1,p1,PLN_2,1,39.6780548527744
domain_1,p2,PLN_2,1,52.5045846296371
domain_1,p3,PLN_2,1,51.4362536817659
domain_1,p4,PLN_2,1,32.3613508572891
domain_1,p5,PLN_2,1,47.6462255098877
domain_1,p6,PLN_2,1,37.9027332328342
domain_1,p7,PLN_2,1,46.5610000564927
domain_1,p8,PLN_2,1,48.1267210760813
domain_1,p9,PLN_2,1,43.1021609648675
domain_1,p10,PLN_2,1,38.988188932121
domain_1,p11,PLN_2,1,62.6146093289955
domain_1,p12,PLN_2,1,30.9252600846523
domain_1,p13,PLN_2,1,39.0731540357464
domain_1,p14,PLN_2,1,33.2878406557916
domain_1,p15,PLN_2,1,44.3367072809832
domain_1,p16,PLN_2,1,53.589597627157
domain_1,p17,PLN_2,1,35.2372042152761
domain_1,p18,PLN_2,1,28.8911947994343
domain_1,p19,PLN_2,1,40.7269971337653
domain_1,p20,PLN_2,1,41.2807768092508
domain_1,p21,PLN_2,1,61.6871905235308
domain_1,p22,PLN_2,1,47.9179015436356
domain_1,p23,PLN_2,1,50.452913431574
domain_1,p24,PLN_2,0,-1
domain_1,p25,PLN_2,0,-1
domain_1,p26,PLN_2,0,-1
domain_1,p27,PLN_2,0,-1
domain_1,p28,PLN_2,0,-1
domain_1,p29,PLN_2,0,-1
domain_1,p30,PLN_2,0,-1
domain_1,p31,PLN_2,0,-1
domain_1,p32,PLN_2,0,-1
domain_1,p33,PLN_2,0,-1
domain_1,p34,PLN_2,0,-1
domain_1,p35,PLN_2,0,-1
