task,run,status,solved,cputime,walltime,memory_mb,planner_time,policy_size,domain,instance,solver
acrobatics_01.yml,paladinus.FOND,1,True,0.416907,0.4532777760177851,31.98976,0.036,3,acrobatics,01,PAL
acrobatics_02.yml,paladinus.FOND,1,True,0.448627,0.4757532998919487,32.026624,0.061,7,acrobatics,02,PAL
acrobatics_03.yml,paladinus.FOND,1,True,0.501916,0.5439648553729057,32.09216,0.115,15,acrobatics,03,PAL
acrobatics_04.yml,paladinus.FOND,1,True,0.681321,0.7165743503719568,46.497792,0.261,31,acrobatics,04,PAL
acrobatics_05.yml,paladinus.FOND,1,True,1.171665,1.2356821149587631,54.849536,0.687,63,acrobatics,05,PAL
acrobatics_06.yml,paladinus.FOND,1,True,2.819233,2.888596875593066,67.305472,2.305,127,acrobatics,06,PAL
acrobatics_07.yml,paladinus.FOND,1,True,11.478949,11.51322565600276,71.82336,10.809,255,acrobatics,07,PAL
acrobatics_08.yml,paladinus.FOND,1,True,71.897328,71.92680467665195,111.16544,71.069,511,acrobatics,08,PAL
beam-walk_01.yml,paladinus.FOND,1,True,0.375828,0.4066944047808647,31.879168,0.04,7,beam-walk,01,PAL
beam-walk_02.yml,paladinus.FOND,1,True,0.400706,0.43386285379529,32.075776,0.047,15,beam-walk,02,PAL
beam-walk_03.yml,paladinus.FOND,1,True,0.440306,0.4697918146848678,32.079872,0.088,31,beam-walk,03,PAL
beam-walk_04.yml,paladinus.FOND,1,True,0.535851,0.5676085539162159,32.149504,0.15,63,beam-walk,04,PAL
beam-walk_05.yml,paladinus.FOND,1,True,0.694834,0.71812479570508,40.833024,0.275,127,beam-walk,05,PAL
beam-walk_06.yml,paladinus.FOND,1,True,0.892953,0.9274259600788356,47.710208,0.418,255,beam-walk,06,PAL
beam-walk_07.yml,paladinus.FOND,1,True,1.459893,1.52759157307446,69.148672,0.875,511,beam-walk,07,PAL
beam-walk_08.yml,paladinus.FOND,1,True,2.6297,2.660416973754764,84.201472,1.888,1023,beam-walk,08,PAL
beam-walk_09.yml,paladinus.FOND,1,True,5.072605,5.0979763232171535,139.300864,4.033,2047,beam-walk,09,PAL
beam-walk_10.yml,paladinus.FOND,0,False,13.780185,13.823081092908978,210.169856,-1.0,-1,beam-walk,10,PAL
beam-walk_11.yml,paladinus.FOND,0,False,57.095449,57.13045587949455,185.745408,-1.0,-1,beam-walk,11,PAL
blocksworld-ipc08_01.yml,paladinus.FOND,1,True,0.963956,1.0212282668799162,48.074752,0.414,10,blocksworld-ipc08,01,PAL
blocksworld-ipc08_02.yml,paladinus.FOND,1,True,0.992399,1.023587703704834,50.614272,0.466,8,blocksworld-ipc08,02,PAL
blocksworld-ipc08_03.yml,paladinus.FOND,1,True,1.109965,1.146652352064848,58.269696,0.566,10,blocksworld-ipc08,03,PAL
blocksworld-ipc08_04.yml,paladinus.FOND,1,True,4.839618,4.861347395926714,163.61472,4.297,16,blocksworld-ipc08,04,PAL
blocksworld-ipc08_05.yml,paladinus.FOND,1,True,2.261211,2.2918477058410645,91.430912,1.762,16,blocksworld-ipc08,05,PAL
blocksworld-ipc08_06.yml,paladinus.FOND,1,True,1.559936,1.6086050514131784,71.80288,1.025,12,blocksworld-ipc08,06,PAL
blocksworld-ipc08_07.yml,paladinus.FOND,1,True,5.205159,5.21921126358211,177.02912,4.655,16,blocksworld-ipc08,07,PAL
blocksworld-ipc08_08.yml,paladinus.FOND,1,True,3.805582,3.8313165195286274,128.372736,3.274,14,blocksworld-ipc08,08,PAL
blocksworld-ipc08_09.yml,paladinus.FOND,1,True,0.884426,0.9468605518341064,45.060096,0.355,8,blocksworld-ipc08,09,PAL
blocksworld-ipc08_10.yml,paladinus.FOND,1,True,0.947053,0.9774741865694524,47.460352,0.422,10,blocksworld-ipc08,10,PAL
blocksworld-ipc08_11.yml,paladinus.FOND,0,False,3086.006461,3086.3107502385974,3325.517824,-1.0,-1,blocksworld-ipc08,11,PAL
blocksworld-ipc08_12.yml,paladinus.FOND,0,False,3017.437716,3017.702136933804,3332.501504,-1.0,-1,blocksworld-ipc08,12,PAL
blocksworld-ipc08_13.yml,paladinus.FOND,0,False,2829.723949,2830.0441323723644,3335.92576,-1.0,-1,blocksworld-ipc08,13,PAL
blocksworld-ipc08_14.yml,paladinus.FOND,0,False,2997.55913,2997.795024342835,3330.37568,-1.0,-1,blocksworld-ipc08,14,PAL
blocksworld-ipc08_15.yml,paladinus.FOND,0,False,3056.989502,3057.257110970095,3333.210112,-1.0,-1,blocksworld-ipc08,15,PAL
blocksworld-ipc08_16.yml,paladinus.FOND,0,False,2858.848153,2859.8085304498672,3330.994176,-1.0,-1,blocksworld-ipc08,16,PAL
blocksworld-ipc08_17.yml,paladinus.FOND,0,False,3295.417457,3295.8039026744664,3361.509376,-1.0,-1,blocksworld-ipc08,17,PAL
blocksworld-ipc08_18.yml,paladinus.FOND,0,False,3012.879849,3013.169642146677,3333.799936,-1.0,-1,blocksworld-ipc08,18,PAL
blocksworld-ipc08_19.yml,paladinus.FOND,0,False,2767.833582,2768.570511037484,3335.84384,-1.0,-1,blocksworld-ipc08,19,PAL
blocksworld-ipc08_20.yml,paladinus.FOND,0,False,2827.947109,2828.884526504204,3317.379072,-1.0,-1,blocksworld-ipc08,20,PAL
blocksworld-ipc08_21.yml,paladinus.FOND,0,False,6597.459687,6597.999653114006,3298.131968,-1.0,-1,blocksworld-ipc08,21,PAL
blocksworld-ipc08_22.yml,paladinus.FOND,0,False,6855.467855,6856.038495874032,3298.947072,-1.0,-1,blocksworld-ipc08,22,PAL
blocksworld-ipc08_23.yml,paladinus.FOND,0,False,6641.528204,6642.069713179022,3303.206912,-1.0,-1,blocksworld-ipc08,23,PAL
blocksworld-ipc08_24.yml,paladinus.FOND,0,False,6948.449071,6948.993371203542,3300.667392,-1.0,-1,blocksworld-ipc08,24,PAL
blocksworld-ipc08_25.yml,paladinus.FOND,0,False,6713.107437,6713.636735236272,3298.168832,-1.0,-1,blocksworld-ipc08,25,PAL
blocksworld-ipc08_26.yml,paladinus.FOND,0,False,6595.160157,6595.718393102288,3305.009152,-1.0,-1,blocksworld-ipc08,26,PAL
blocksworld-ipc08_27.yml,paladinus.FOND,0,False,6764.353192,6765.249777045101,3305.660416,-1.0,-1,blocksworld-ipc08,27,PAL
blocksworld-ipc08_28.yml,paladinus.FOND,0,False,6901.344884,6903.405395634472,3300.839424,-1.0,-1,blocksworld-ipc08,28,PAL
blocksworld-ipc08_29.yml,paladinus.FOND,0,False,6924.46917,6925.019493896514,3298.050048,-1.0,-1,blocksworld-ipc08,29,PAL
blocksworld-ipc08_30.yml,paladinus.FOND,0,False,6745.487661,6746.03621785529,3299.565568,-1.0,-1,blocksworld-ipc08,30,PAL
blocksworld-new_1.yml,paladinus.FOND,1,True,0.473275,0.5128354281187057,32.391168,0.096,4,blocksworld-new,1,PAL
blocksworld-new_10.yml,paladinus.FOND,0,False,2893.580339,2893.8700611777604,3324.854272,-1.0,-1,blocksworld-new,10,PAL
blocksworld-new_11.yml,paladinus.FOND,0,False,3443.207931,3443.5050871782005,3327.668224,-1.0,-1,blocksworld-new,11,PAL
blocksworld-new_12.yml,paladinus.FOND,0,False,3614.113626,3614.444181555882,3317.297152,-1.0,-1,blocksworld-new,12,PAL
blocksworld-new_13.yml,paladinus.FOND,0,False,4417.22528,4417.596645856276,3320.0128,-1.0,-1,blocksworld-new,13,PAL
blocksworld-new_14.yml,paladinus.FOND,0,False,6290.993563,6291.51143139042,3312.840704,-1.0,-1,blocksworld-new,14,PAL
blocksworld-new_15.yml,paladinus.FOND,0,False,6821.749302,6824.000131273642,3306.213376,-1.0,-1,blocksworld-new,15,PAL
blocksworld-new_16.yml,paladinus.FOND,0,False,8592.930108,8593.609271623194,3315.707904,-1.0,-1,blocksworld-new,16,PAL
blocksworld-new_17.yml,paladinus.FOND,0,False,10562.787582,10563.588712161409,3291.07456,-1.0,-1,blocksworld-new,17,PAL
blocksworld-new_18.yml,paladinus.FOND,0,False,13216.385145,13217.463874213398,3295.031296,-1.0,-1,blocksworld-new,18,PAL
blocksworld-new_19.yml,paladinus.FOND,-1,False,14401.276731,14402.105645185336,3290.39872,-1.0,-1,blocksworld-new,19,PAL
blocksworld-new_2.yml,paladinus.FOND,1,True,0.4045,0.4405601918697357,31.981568,0.041,2,blocksworld-new,2,PAL
blocksworld-new_20.yml,paladinus.FOND,-1,False,14401.279561,14402.016010867432,3283.386368,-1.0,-1,blocksworld-new,20,PAL
blocksworld-new_21.yml,paladinus.FOND,-1,False,14400.335286,14401.004909440877,3288.551424,-1.0,-1,blocksworld-new,21,PAL
blocksworld-new_22.yml,paladinus.FOND,-1,False,14400.365592,14401.005989974365,3276.96384,-1.0,-1,blocksworld-new,22,PAL
blocksworld-new_23.yml,paladinus.FOND,-1,False,14401.278328,14406.088418141007,3277.869056,-1.0,-1,blocksworld-new,23,PAL
blocksworld-new_24.yml,paladinus.FOND,-1,False,14400.507787,14401.00559979491,3273.089024,-1.0,-1,blocksworld-new,24,PAL
blocksworld-new_25.yml,paladinus.FOND,-1,False,14400.372802,14401.00469120778,3174.576128,-1.0,-1,blocksworld-new,25,PAL
blocksworld-new_26.yml,paladinus.FOND,-1,False,14401.231462,14402.035035528244,2601.222144,-1.0,-1,blocksworld-new,26,PAL
blocksworld-new_27.yml,paladinus.FOND,-1,False,14401.261523,14402.015885137022,2609.053696,-1.0,-1,blocksworld-new,27,PAL
blocksworld-new_28.yml,paladinus.FOND,-1,False,14400.253633,14401.004399264231,2555.056128,-1.0,-1,blocksworld-new,28,PAL
blocksworld-new_29.yml,paladinus.FOND,-1,False,14401.222111,14402.053341489283,2189.664256,-1.0,-1,blocksworld-new,29,PAL
blocksworld-new_3.yml,paladinus.FOND,1,True,0.511151,0.9143599197268486,32.64512,0.088,4,blocksworld-new,3,PAL
blocksworld-new_30.yml,paladinus.FOND,-1,False,14400.234794,14401.004750961438,2100.79744,-1.0,-1,blocksworld-new,30,PAL
blocksworld-new_31.yml,paladinus.FOND,-1,False,14401.199936,14405.700757922605,2148.569088,-1.0,-1,blocksworld-new,31,PAL
blocksworld-new_32.yml,paladinus.FOND,-1,False,14400.232709,14401.003851607442,2185.166848,-1.0,-1,blocksworld-new,32,PAL
blocksworld-new_33.yml,paladinus.FOND,-1,False,14400.257283,14401.004798272625,1928.699904,-1.0,-1,blocksworld-new,33,PAL
blocksworld-new_34.yml,paladinus.FOND,-1,False,14400.26769,14401.003362864256,1827.483648,-1.0,-1,blocksworld-new,34,PAL
blocksworld-new_35.yml,paladinus.FOND,-1,False,14400.312713,14401.004358436912,1955.647488,-1.0,-1,blocksworld-new,35,PAL
blocksworld-new_36.yml,paladinus.FOND,-1,False,14400.342619,14401.0041691754,1917.087744,-1.0,-1,blocksworld-new,36,PAL
blocksworld-new_37.yml,paladinus.FOND,-1,False,14400.282794,14401.003977868706,1619.099648,-1.0,-1,blocksworld-new,37,PAL
blocksworld-new_38.yml,paladinus.FOND,-1,False,14400.367922,14401.004237793386,1620.29568,-1.0,-1,blocksworld-new,38,PAL
blocksworld-new_39.yml,paladinus.FOND,-1,False,14401.204611,14405.04479491338,1697.640448,-1.0,-1,blocksworld-new,39,PAL
blocksworld-new_4.yml,paladinus.FOND,1,True,0.797022,0.8222270589321852,36.491264,0.268,8,blocksworld-new,4,PAL
blocksworld-new_40.yml,paladinus.FOND,-1,False,14400.482628,14401.003838442266,1703.366656,-1.0,-1,blocksworld-new,40,PAL
blocksworld-new_5.yml,paladinus.FOND,1,True,2.049785,2.086127864196897,72.00768,1.467,12,blocksworld-new,5,PAL
blocksworld-new_6.yml,paladinus.FOND,1,True,26.433798,26.462052166461945,723.533824,25.754,18,blocksworld-new,6,PAL
blocksworld-new_7.yml,paladinus.FOND,0,False,2267.714916,2267.91002365388,3385.782272,-1.0,-1,blocksworld-new,7,PAL
blocksworld-new_8.yml,paladinus.FOND,0,False,2740.819237,2741.0491085872054,3370.65984,-1.0,-1,blocksworld-new,8,PAL
blocksworld-new_9.yml,paladinus.FOND,0,False,2527.552373,2527.779375184328,3341.737984,-1.0,-1,blocksworld-new,9,PAL
chain-of-rooms_1.yml,paladinus.FOND,1,True,0.670861,0.7241450510919094,47.509504,0.265,27,chain-of-rooms,1,PAL
chain-of-rooms_10.yml,paladinus.FOND,0,False,14399.927822,14400.71269798465,111.02208,-1.0,-1,chain-of-rooms,10,PAL
chain-of-rooms_2.yml,paladinus.FOND,1,True,119.60039,119.64157837629318,105.996288,119.149,57,chain-of-rooms,2,PAL
chain-of-rooms_3.yml,paladinus.FOND,0,False,14399.818673,14400.52625996992,104.235008,-1.0,-1,chain-of-rooms,3,PAL
chain-of-rooms_4.yml,paladinus.FOND,0,False,14399.815836,14400.560154892504,104.353792,-1.0,-1,chain-of-rooms,4,PAL
chain-of-rooms_5.yml,paladinus.FOND,0,False,14399.80834,14400.518606094643,101.052416,-1.0,-1,chain-of-rooms,5,PAL
chain-of-rooms_6.yml,paladinus.FOND,0,False,14399.842178,14400.598715575412,105.439232,-1.0,-1,chain-of-rooms,6,PAL
chain-of-rooms_7.yml,paladinus.FOND,0,False,14399.921256,14400.6634806972,106.06592,-1.0,-1,chain-of-rooms,7,PAL
chain-of-rooms_8.yml,paladinus.FOND,0,False,14397.231173,14400.621891848745,110.44864,-1.0,-1,chain-of-rooms,8,PAL
chain-of-rooms_9.yml,paladinus.FOND,0,False,14399.963567,14400.677526852116,106.983424,-1.0,-1,chain-of-rooms,9,PAL
doors_01.yml,paladinus.FOND,1,True,0.457107,0.5029071159660816,32.083968,0.055,6,doors,01,PAL
doors_02.yml,paladinus.FOND,1,True,0.481503,0.5140780434012413,32.043008,0.066,14,doors,02,PAL
doors_03.yml,paladinus.FOND,1,True,0.514895,0.5402751751244068,32.129024,0.087,30,doors,03,PAL
doors_04.yml,paladinus.FOND,1,True,0.533124,0.5594900399446487,32.186368,0.101,62,doors,04,PAL
doors_05.yml,paladinus.FOND,1,True,0.560215,0.5837999824434519,34.2016,0.142,126,doors,05,PAL
doors_06.yml,paladinus.FOND,1,True,0.744175,0.7745568510144949,44.879872,0.254,254,doors,06,PAL
doors_07.yml,paladinus.FOND,1,True,0.76444,0.8134434651583433,49.074176,0.278,510,doors,07,PAL
doors_08.yml,paladinus.FOND,1,True,1.081633,1.1083925645798445,54.812672,0.456,1022,doors,08,PAL
doors_09.yml,paladinus.FOND,1,True,2.056195,2.091344913467765,69.627904,1.039,2046,doors,09,PAL
doors_10.yml,paladinus.FOND,1,True,4.531499,4.555362349376082,86.46656,2.227,4094,doors,10,PAL
doors_11.yml,paladinus.FOND,1,True,17.702667,17.732899164780974,149.397504,8.852,8190,doors,11,PAL
