domain,cov_ASP1-fsat,cov_ASP1-reg,cov_ASP2-fsat,cov_ASP2-reg,cov_FSAT-GL,cov_FSAT-MS,cov_PAL,cov_PRP,time_ASP1-fsat,time_ASP1-reg,time_ASP2-fsat,time_ASP2-reg,time_FSAT-GL,time_FSAT-MS,time_PAL,time_PRP,mem_ASP1-fsat,mem_ASP1-reg,mem_ASP2-fsat,mem_ASP2-reg,mem_FSAT-GL,mem_FSAT-MS,mem_PAL,mem_PRP,size_ASP1-fsat,size_ASP1-reg,size_ASP2-fsat,size_ASP2-reg,size_FSAT-GL,size_FSAT-MS,size_PAL,size_PRP
acrobatics,0.5,0.5,0.5,0.5,0.5,0.38,1.0,1.0,529.19,796.28,427.03,1595.96,178.67,7.89,11.18,13.01,166.2,81.04,169.21,95.18,82.58,23.13,55.97,12.45,15.0,15.0,15.25,15.25,15.0,9.33,126.5,127.5
beam-walk,0.27,0.27,0.27,0.27,0.27,0.27,0.82,1.0,11.53,47.83,33.38,76.49,160.18,1336.87,1.39,21.18,74.75,56.34,77.62,65.09,79.61,241.17,56.6,18.99,18.67,18.67,18.67,18.67,18.67,18.67,453.22,1488.73
blocksworld-ipc08,0.33,0.33,0.33,0.33,0.4,0.37,0.33,1.0,18.12,10.02,17.94,15.25,343.36,1031.14,2.26,1.12,152.83,69.58,151.5,78.29,369.89,285.5,88.17,27.0,11.2,11.2,11.2,11.2,12.17,11.64,12.0,24.4
blocksworld-new,0.18,0.2,0.18,0.2,0.2,0.2,0.15,1.0,1049.76,2151.56,956.18,2532.6,152.74,594.82,5.11,17.45,208.54,105.27,210.45,128.38,209.71,273.94,154.84,264.74,9.14,10.25,9.43,10.5,10.12,10.12,8.0,54.22
chain-of-rooms,0.2,0.1,0.2,0.1,0.1,0.1,0.2,1.0,6081.08,227.26,5875.97,341.82,219.46,2283.79,60.14,0.85,524.61,93.34,542.11,120.09,147.87,568.15,76.75,11.42,43.0,28.0,43.0,28.0,28.0,28.0,42.0,163.0
doors,1.0,1.0,1.0,1.0,1.0,0.87,1.0,0.8,379.66,1852.86,401.04,1640.17,293.27,1666.56,1304.16,1.43,312.82,107.85,323.97,140.1,138.88,358.77,359.96,39.05,19.0,19.0,19.0,19.0,19.0,17.0,17473.73,22.0
earth_observation,0.25,0.2,0.25,0.2,0.25,0.15,0.25,1.0,2265.8,3177.57,3072.19,3027.13,1178.06,571.36,361.16,0.61,124.48,70.64,138.23,68.93,144.49,49.72,66.14,10.47,19.2,16.38,19.2,14.88,19.2,11.5,30.6,148.45
elevators,0.47,0.47,0.47,0.47,0.53,0.47,0.47,1.0,10.77,77.25,8.34,34.67,1614.44,107.16,5.48,0.4,88.96,61.68,90.48,70.64,85.65,51.66,69.3,10.27,15.86,15.86,15.86,15.86,18.38,15.86,19.71,46.53
faults-ipc08,0.71,0.69,0.71,0.67,0.82,0.51,0.85,1.0,779.24,961.49,1135.18,608.89,2147.57,334.28,10.67,0.31,104.69,65.82,111.33,75.94,101.73,79.09,564.63,10.44,14.15,13.92,14.15,13.76,13.87,11.25,180.51,15.18
first-responders-ipc08,0.45,0.44,0.49,0.5,0.52,0.46,0.3,0.75,986.44,1002.66,597.9,761.1,477.87,606.29,53.99,0.77,103.94,70.59,126.27,90.41,102.16,145.88,510.72,12.33,10.33,9.98,10.92,11.08,11.31,10.24,9.03,18.08
islands,1.0,1.0,1.0,1.0,0.93,0.97,0.83,0.5,10.81,9.67,11.7,10.32,82.39,145.51,33.51,52.37,179.57,107.0,185.02,122.87,484.18,451.6,567.54,176.77,8.0,8.0,8.2,8.2,7.71,7.86,6.36,6.87
miner,0.96,1.0,0.96,1.0,1.0,1.0,0.9,0.24,180.38,284.34,131.69,123.6,337.15,441.66,66.61,264.71,1279.42,777.66,1314.08,845.83,419.12,331.33,825.06,1063.57,20.37,20.61,20.37,20.61,20.61,20.61,22.3,20.42
spiky-tireworld,0.91,0.91,0.91,0.91,1.0,0.91,0.91,0.18,1336.06,3802.46,1199.05,3827.1,1296.31,4502.76,14.9,2519.6,474.71,241.97,507.48,323.93,407.65,1146.24,567.1,234.91,23.0,23.0,23.0,23.0,23.36,23.0,25.0,23.0
tireworld,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1.73,1.04,2.01,1.37,1.94,4.91,0.64,0.3,62.82,50.92,64.62,52.78,22.87,23.03,35.7,10.81,5.58,5.58,6.33,6.33,5.83,5.83,6.92,10.08
tireworld-truck,1.0,1.0,1.0,1.0,1.0,0.99,0.78,0.32,71.41,129.1,87.48,123.33,176.0,1019.44,355.53,793.14,120.07,72.18,123.65,86.09,74.91,213.47,805.73,115.09,15.26,15.26,15.26,15.26,15.26,15.15,21.72,23.54
triangle-tireworld,0.08,0.08,0.1,0.08,0.12,0.08,1.0,1.0,429.01,380.64,2416.05,233.83,1407.95,1456.86,12.52,69.54,96.72,65.89,184.51,75.72,170.16,343.98,183.77,238.09,16.0,16.0,20.0,16.0,24.0,16.0,244.0,245.0
zenotravel,0.33,0.33,0.33,0.33,0.33,0.33,0.33,1.0,1180.58,840.99,79.0,95.39,170.96,406.65,16.79,3.75,330.79,153.67,340.84,188.79,466.84,397.92,368.12,66.44,12.2,12.2,12.2,12.2,13.0,13.0,15.2,54.6
