tool	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 
run set	cfondasp1-fsat.FOND	cfondasp1-fsat.FOND	cfondasp1-fsat.FOND	cfondasp1-fsat.FOND	cfondasp1-fsat.FOND	cfondasp1-fsat.FOND	cfondasp1-reg.FOND	cfondasp1-reg.FOND	cfondasp1-reg.FOND	cfondasp1-reg.FOND	cfondasp1-reg.FOND	cfondasp1-reg.FOND	cfondasp2-fsat.FOND	cfondasp2-fsat.FOND	cfondasp2-fsat.FOND	cfondasp2-fsat.FOND	cfondasp2-fsat.FOND	cfondasp2-fsat.FOND	cfondasp2-reg.FOND	cfondasp2-reg.FOND	cfondasp2-reg.FOND	cfondasp2-reg.FOND	cfondasp2-reg.FOND	cfondasp2-reg.FOND
/home/nitin/cfond-asp-private/experiments/benchexec/tasks/	status	cputime (s)	walltime (s)	memory (MB)	planner_time	policy_size	status	cputime (s)	walltime (s)	memory (MB)	planner_time	policy_size	status	cputime (s)	walltime (s)	memory (MB)	planner_time	policy_size	status	cputime (s)	walltime (s)	memory (MB)	planner_time	policy_size
acrobatics_01.yml	true	0.532436	0.542227242141962	46.833664	0.0854186862707138	4	true	0.552092	0.5643658265471458	46.821376	0.083538131788373	4	false	0.488022	0.4965246245265007	38.961152	-1	-1	false	0.447809	0.4548250827938318	38.998016	-1	-1
acrobatics_02.yml	true	0.737796	0.7473173402249813	47.124480	0.25984510220587254	8	true	0.646377	0.6606732439249754	47.132672	0.1878521740436554	8	false	0.449494	0.45934089086949825	39.235584	-1	-1	false	0.452153	0.4642342086881399	38.985728	-1	-1
acrobatics_03.yml	true	5.386226	5.397519895806909	92.106752	4.930256430059671	16	true	4.487019	4.496770091354847	58.540032	3.997310433536768	16	false	0.435229	0.444142235442996	38.977536	-1	-1	false	0.447838	0.455306651070714	38.981632	-1	-1
acrobatics_04.yml	true	2328.000886	2328.120185038075	478.404608	2327.638131584972	32	true	2750.301195	2750.450614500791	171.470848	2749.9751040264964	32	false	0.476709	0.48542677238583565	38.993920	-1	-1	false	0.446121	0.46033801697194576	38.998016	-1	-1
acrobatics_05.yml	TIMEOUT (false)	14400.273161	14400.806228432804	1735.442432	14400.219814123586	-1	TIMEOUT (false)	14400.099094	14400.728140294552	302.243840	14400.209668835625	-1	false	0.455243	0.4647355396300554	38.989824	-1	-1	false	0.462835	0.4784050416201353	39.137280	-1	-1
acrobatics_06.yml	TIMEOUT (false)	14400.408275	14400.868071746081	2585.260032	14400.272298874334	-1	TIMEOUT (false)	14400.232901	14400.800931064412	483.631104	14400.264553016052	-1	false	0.466728	0.4825383722782135	39.038976	-1	-1	false	0.450809	0.45839688181877136	39.145472	-1	-1
acrobatics_07.yml	OUT OF MEMORY (false)	7456.65172	7456.816344125196	4096.000000	-1	-1	TIMEOUT (false)	14400.22251	14400.932877046987	806.895616	14400.392692241818	-1	false	0.469312	0.4821509402245283	38.981632	-1	-1	false	0.445019	0.4608934000134468	38.965248	-1	-1
acrobatics_08.yml	OUT OF MEMORY (false)	1731.489356	1731.4993586037308	4096.000000	-1	-1	TIMEOUT (false)	14400.524262	14401.002319063991	1319.550976	-1	-1	false	0.466657	0.4753431510180235	39.010304	-1	-1	false	0.449079	0.45709604397416115	38.989824	-1	-1
beam-walk_01.yml	true	0.563808	0.573115574195981	46.825472	0.13653289340436459	8	true	0.583116	0.5909262355417013	46.862336	0.13144280761480331	8	false	0.45988	0.4665868040174246	38.985728	-1	-1	false	0.451921	0.46200945787131786	38.977536	-1	-1
beam-walk_02.yml	true	1.033558	1.045331422239542	51.982336	0.6041191834956408	16	true	0.871001	0.8798658419400454	46.837760	0.4236074034124613	16	false	0.429577	0.4382689315825701	38.981632	-1	-1	false	0.451653	0.46205490827560425	38.961152	-1	-1
beam-walk_03.yml	true	34.230315	34.25463496334851	125.411328	33.7939609605819	32	true	139.799812	139.84187644347548	75.112448	139.37794386781752	32	false	0.449951	0.4578252397477627	38.998016	-1	-1	false	0.452634	0.4608355946838856	38.969344	-1	-1
beam-walk_04.yml	TIMEOUT (false)	14400.101405	14400.745288755745	353.685504	14400.178598942235	-1	false	14399.766396	14400.674853632227	179.396608	14400.165655341	-1	false	0.435126	0.45127089507877827	39.157760	-1	-1	false	0.452134	0.4586591087281704	38.973440	-1	-1
beam-walk_05.yml	false	14399.986934	14400.783495208248	579.047424	14400.188641617075	-1	TIMEOUT (false)	14400.127711	14400.695758419111	244.920320	14400.187677044421	-1	false	0.451598	0.45999239198863506	39.141376	-1	-1	false	0.459281	0.4726875349879265	38.981632	-1	-1
beam-walk_06.yml	false	14396.747713	14400.872962594032	921.731072	14400.221180099994	-1	false	14396.185629	14400.694211928174	398.815232	14400.2078627944	-1	false	0.447759	0.4614953398704529	39.141376	-1	-1	false	0.447274	0.455557269975543	38.973440	-1	-1
beam-walk_07.yml	TIMEOUT (false)	14400.421151	14400.949014000595	1707.560960	14400.283624358475	-1	TIMEOUT (false)	14400.256688	14400.776018505916	734.994432	14400.269094333053	-1	false	0.450807	0.4585999324917793	39.145472	-1	-1	false	0.461826	0.4689792115241289	38.981632	-1	-1
