tool	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 	CFondASP 
run set	cfondasp1-fsat.FOND	cfondasp1-fsat.FOND	cfondasp1-fsat.FOND	cfondasp1-fsat.FOND	cfondasp1-fsat.FOND	cfondasp1-fsat.FOND	cfondasp1-reg.FOND	cfondasp1-reg.FOND	cfondasp1-reg.FOND	cfondasp1-reg.FOND	cfondasp1-reg.FOND	cfondasp1-reg.FOND
/home/nitin/cfond-asp-private/experiments/benchexec/tasks/	status	cputime (s)	walltime (s)	memory (MB)	planner_time	policy_size	status	cputime (s)	walltime (s)	memory (MB)	planner_time	policy_size
acrobatics_07.yml	OUT OF MEMORY (false)	7329.038992	7329.225057199597	4096.000000	-1	-1	TIMEOUT (false)	14400.320171	14400.907219290733	806.846464	14400.38258767873	-1
acrobatics_08.yml	OUT OF MEMORY (false)	1693.483517	1693.598133470863	4096.000000	-1	-1	TIMEOUT (false)	14400.460641	14401.003805160522	1319.538688	-1	-1
beam-walk_04.yml	false	14399.857262	14400.692185040563	367.169536	14400.171023219824	-1	TIMEOUT (false)	14400.069621	14400.737463783473	179.449856	14400.170387525111	-1
beam-walk_05.yml	TIMEOUT (false)	14400.064013	14400.745568394661	578.945024	14400.189286429435	-1	false	14399.703263	14400.71740212664	241.360896	14400.189902920276	-1
beam-walk_09.yml	OUT OF MEMORY (false)	2469.564492	2469.5173556283116	4096.000000	-1	-1	TIMEOUT (false)	14400.671659	14401.003477629274	3621.552128	-1	-1
blocksworld-ipc08_13.yml	TIMEOUT (false)	14400.465785	14401.004423767328	1737.134080	-1	-1	false	14397.078884	14401.286729857326	438.910976	14400.671404216439	-1
blocksworld-ipc08_16.yml	false	14397.093229	14401.285260681063	2187.853824	14400.678937699646	-1	TIMEOUT (false)	14400.447421	14401.004094284028	529.805312	-1	-1
blocksworld-ipc08_21.yml	OUT OF MEMORY (false)	2567.871068	2567.7746421694756	4096.000000	-1	-1	false	14398.130648	14402.445510230958	1324.183552	14401.919860832393	-1
blocksworld-ipc08_22.yml	OUT OF MEMORY (false)	2070.813864	2070.7178666442633	4096.000000	-1	-1	TIMEOUT (false)	14400.465414	14401.004605412483	1460.699136	-1	-1
blocksworld-ipc08_23.yml	OUT OF MEMORY (false)	2742.774545	2742.677492391318	4096.000000	-1	-1	TIMEOUT (false)	14400.473011	14401.00415775925	1462.935552	-1	-1
blocksworld-ipc08_24.yml	OUT OF MEMORY (false)	2813.950874	2814.568964459002	4096.000000	-1	-1	TIMEOUT (false)	14400.374564	14401.004529699683	1331.838976	-1	-1
blocksworld-ipc08_25.yml	OUT OF MEMORY (false)	2350.919299	2350.790493644774	4096.000000	-1	-1	TIMEOUT (false)	14400.365336	14401.005240783095	1477.799936	-1	-1
blocksworld-ipc08_26.yml	OUT OF MEMORY (false)	2476.277266	2476.201456975192	4096.000000	-1	-1	TIMEOUT (false)	14400.499644	14401.00452355668	1325.858816	-1	-1
blocksworld-ipc08_27.yml	OUT OF MEMORY (false)	2784.274781	2784.1838324964046	4096.000000	-1	-1	TIMEOUT (false)	14400.449156	14401.004632040858	1463.128064	-1	-1
blocksworld-ipc08_28.yml	OUT OF MEMORY (false)	2507.342076	2507.2895833291113	4096.000000	-1	-1	TIMEOUT (false)	14400.434738	14401.004040006548	1496.084480	-1	-1
blocksworld-ipc08_29.yml	OUT OF MEMORY (false)	2758.15877	2758.1121328659356	4096.000000	-1	-1	false	14398.015067	14402.4737377204	1327.104000	14401.947982732207	-1
