tool	Fondsat 	Fondsat 	Fondsat 	Fondsat 	Fondsat 	Fondsat 	Fondsat 	Fondsat 	Fondsat 	Fondsat 	Fondsat 	Fondsat 
run set	fondsat-minisat.FOND	fondsat-minisat.FOND	fondsat-minisat.FOND	fondsat-minisat.FOND	fondsat-minisat.FOND	fondsat-minisat.FOND	fondsat-glucose.FOND	fondsat-glucose.FOND	fondsat-glucose.FOND	fondsat-glucose.FOND	fondsat-glucose.FOND	fondsat-glucose.FOND
/home/nitin/cfond-asp-private/experiments/benchexec/tasks/	status	cputime (s)	walltime (s)	memory (MB)	planner_time	policy_size	status	cputime (s)	walltime (s)	memory (MB)	planner_time	policy_size
acrobatics_01.yml	true	0.293984	1.1914912136271596	18.829312	0.786139	4	true	0.254697	0.2893088795244694	18.808832	0.106133	4
acrobatics_02.yml	true	0.642322	1.542533808387816	19.042304	1.137405	8	true	0.510166	0.5340736024081707	19.042304	0.349314	8
acrobatics_03.yml	true	22.733352	23.624675407074392	31.531008	23.226814	16	true	6.682091	6.684659501537681	33.710080	6.498825	16
acrobatics_04.yml	false	14398.397929	14400.301782229915	1684.455424	-1	-1	true	707.247746	707.2977128922939	258.777088	707.095255	32
acrobatics_05.yml	false	14397.755082	14399.669079337269	1805.889536	-1	-1	TIMEOUT (false)	14401.064326	14402.053738923743	1269.694464	-1	-1
acrobatics_06.yml	false	14398.937261	14400.838666168973	1747.718144	-1	-1	TIMEOUT (false)	14401.07928	14402.035834301263	1306.058752	-1	-1
acrobatics_07.yml	false	14398.680425	14400.621601124294	2599.895040	-1	-1	TIMEOUT (false)	14401.105145	14402.030861796811	1938.984960	-1	-1
acrobatics_08.yml	false	14398.528527	14400.402199960314	2292.203520	-1	-1	TIMEOUT (false)	14401.160743	14402.094767311588	3380.830208	-1	-1
beam-walk_01.yml	true	0.350742	0.35302882827818394	18.694144	0.179442	8	true	0.315143	0.3170526623725891	18.669568	0.150711	8
beam-walk_02.yml	true	6.357748	6.361792583018541	22.343680	6.192578	16	true	1.904075	1.90604867041111	20.840448	1.742292	16
beam-walk_03.yml	true	4003.902036	4004.5673943972215	682.475520	4004.390107	32	true	478.3316	478.4427021276206	199.319552	478.271903	32
beam-walk_04.yml	false	14398.721328	14400.27902764082	1795.596288	-1	-1	TIMEOUT (false)	14401.042094	14402.158147437498	658.546688	-1	-1
beam-walk_05.yml	false	10425.867154	10426.664337469265	2293.780480	-1	-1	TIMEOUT (false)	14401.040253	14402.163390245289	680.960000	-1	-1
beam-walk_06.yml	false	14397.694868	14400.196114582941	2502.922240	-1	-1	TIMEOUT (false)	14401.045107	14404.18410519138	827.961344	-1	-1
beam-walk_07.yml	false	14399.301432	14400.372505512089	1779.884032	-1	-1	TIMEOUT (false)	14401.066943	14402.135845424607	1087.590400	-1	-1
beam-walk_08.yml	false	14399.23796	14400.201070287265	2231.377920	-1	-1	TIMEOUT (false)	14401.113411	14402.064736593515	1595.224064	-1	-1
beam-walk_09.yml	false	14399.569805	14400.559930327348	2771.062784	-1	-1	TIMEOUT (false)	14401.167812	14402.066982401535	2951.774208	-1	-1
beam-walk_10.yml	OUT OF MEMORY (false)	4765.13698	4765.253960873932	4096.000000	-1	-1	OUT OF MEMORY (false)	1731.184124	1731.0518546383828	4096.000000	-1	-1
beam-walk_11.yml	OUT OF MEMORY (false)	1566.204467	1566.1390279177576	4096.000000	-1	-1	OUT OF MEMORY (false)	758.355816	758.1419131476432	4096.000000	-1	-1
blocksworld-ipc08_01.yml	true	7.980476	7.982582388445735	37.330944	7.808771	9	true	6.868443	6.871021104976535	44.113920	6.699631	9
blocksworld-ipc08_02.yml	true	5.362398	5.364337271079421	32.030720	5.189448	8	true	4.854929	4.85765628516674	37.908480	4.685173	8
blocksworld-ipc08_03.yml	true	10.797662	10.799899365752935	42.344448	10.624607	10	true	9.408835	9.411908788606524	49.934336	9.241030	10
blocksworld-ipc08_04.yml	true	72.938483	72.94832080975175	77.594624	72.772145	14	true	30.23134	30.237545546144247	80.961536	30.061137	14
blocksworld-ipc08_05.yml	true	26.029625	26.03333586640656	55.828480	25.859272	12	true	17.569365	17.57250408269465	63.844352	17.401590	12
blocksworld-ipc08_06.yml	true	15.779279	15.782357935793698	44.109824	15.605032	11	true	13.031902	13.035031251609325	56.283136	12.853853	11
blocksworld-ipc08_07.yml	true	39.023824	39.02777952328324	59.047936	38.852474	13	true	23.291373	23.2968035582453	71.692288	23.117270	13
blocksworld-ipc08_08.yml	true	49.807842	49.815311996266246	64.126976	49.636553	13	true	24.059057	24.062722645699978	71.827456	23.889234	13
blocksworld-ipc08_09.yml	true	7.611022	7.613309113308787	36.052992	7.437608	9	true	6.741636	6.744702069088817	44.109824	6.570507	9
blocksworld-ipc08_10.yml	true	15.01638	15.019924386404455	44.793856	14.846055	11	true	12.45154	12.4561364967376	56.274944	12.275863	11
blocksworld-ipc08_11.yml	TIMEOUT (false)	14400.265585	14401.3201257037	2782.007296	-1	-1	TIMEOUT (false)	14401.150904	14402.243399389088	2457.432064	-1	-1
blocksworld-ipc08_12.yml	false	14399.587146	14401.010571422987	2868.658176	-1	-1	TIMEOUT (false)	14401.15613	14402.209796356037	2593.157120	-1	-1
blocksworld-ipc08_13.yml	false	14399.022052	14400.140629916452	3724.685312	-1	-1	TIMEOUT (false)	14401.14807	14403.76731097512	2323.632128	-1	-1
blocksworld-ipc08_14.yml	true	11092.213782	11094.142049632035	2647.195648	11093.726167	18	true	1919.429958	1919.6046724542975	1931.214848	1919.214482	18
blocksworld-ipc08_15.yml	false	14399.532127	14400.607225527056	2570.153984	-1	-1	TIMEOUT (false)	14401.160319	14402.199605304748	2689.712128	-1	-1
blocksworld-ipc08_16.yml	false	14399.876538	14401.0340432683	2899.795968	-1	-1	TIMEOUT (false)	14401.173492	14402.177036741748	2673.213440	-1	-1
blocksworld-ipc08_17.yml	TIMEOUT (false)	14400.769222	14401.892828260548	3283.066880	-1	-1	TIMEOUT (false)	14401.155656	14402.14900392294	2520.883200	-1	-1
blocksworld-ipc08_18.yml	false	9867.62555	9868.35992807243	2817.564672	-1	-1	true	2052.438816	2052.601787729189	1930.571776	2052.190129	18
blocksworld-ipc08_19.yml	TIMEOUT (false)	14400.101321	14401.18250098452	3257.974784	-1	-1	TIMEOUT (false)	14401.138814	14402.126377826557	2458.415104	-1	-1
blocksworld-ipc08_20.yml	false	14399.85688	14400.987246461213	2816.450560	-1	-1	TIMEOUT (false)	14401.162219	14402.238928820938	2338.021376	-1	-1
blocksworld-ipc08_21.yml	OUT OF MEMORY (false)	907.648164	907.538122003898	4096.000000	-1	-1	OUT OF MEMORY (false)	531.464268	531.1955198198557	4096.000000	-1	-1
blocksworld-ipc08_22.yml	OUT OF MEMORY (false)	906.066798	905.8872247366235	4096.000000	-1	-1	OUT OF MEMORY (false)	532.835565	532.6231979113072	4096.000000	-1	-1
blocksworld-ipc08_23.yml	OUT OF MEMORY (false)	929.469989	929.36979626026	4096.000000	-1	-1	OUT OF MEMORY (false)	543.737291	543.4719606731087	4096.000000	-1	-1
blocksworld-ipc08_24.yml	OUT OF MEMORY (false)	905.377192	905.1994041120633	4096.000000	-1	-1	OUT OF MEMORY (false)	528.99462	528.7218882050365	4096.000000	-1	-1
blocksworld-ipc08_25.yml	OUT OF MEMORY (false)	919.496548	919.3777689756826	4096.000000	-1	-1	OUT OF MEMORY (false)	517.13081	516.9292884282768	4096.000000	-1	-1
blocksworld-ipc08_26.yml	OUT OF MEMORY (false)	920.109159	919.9323036866263	4096.000000	-1	-1	OUT OF MEMORY (false)	538.744097	538.4860962368548	4096.000000	-1	-1
blocksworld-ipc08_27.yml	OUT OF MEMORY (false)	911.667287	911.5416200226173	4096.000000	-1	-1	OUT OF MEMORY (false)	519.271728	519.0052544604987	4096.000000	-1	-1
blocksworld-ipc08_28.yml	OUT OF MEMORY (false)	916.344129	916.1567835891619	4096.000000	-1	-1	OUT OF MEMORY (false)	541.125183	540.9154773466289	4096.000000	-1	-1
blocksworld-ipc08_29.yml	OUT OF MEMORY (false)	913.583352	913.4609132641926	4096.000000	-1	-1	OUT OF MEMORY (false)	533.80656	533.5411799568683	4096.000000	-1	-1
blocksworld-ipc08_30.yml	OUT OF MEMORY (false)	908.54342	908.3571587530896	4096.000000	-1	-1	OUT OF MEMORY (false)	525.134874	524.8583615422249	4096.000000	-1	-1
blocksworld-new_1.yml	true	0.554806	0.5564444633200765	19.316736	0.380654	5	true	0.501593	0.5034131929278374	19.251200	0.334419	5
blocksworld-new_10.yml	false	12267.621606	12268.623348805122	3686.539264	-1	-1	TIMEOUT (false)	14401.214653	14402.160155070946	3695.779840	-1	-1
blocksworld-new_11.yml	OUT OF MEMORY (false)	6406.506358	6407.469261345454	4096.000000	-1	-1	OUT OF MEMORY (false)	1049.641152	1049.4203213267028	4096.000000	-1	-1
blocksworld-new_12.yml	OUT OF MEMORY (false)	1873.955803	1873.868082255125	4096.000000	-1	-1	OUT OF MEMORY (false)	739.042327	738.8576792944223	4096.000000	-1	-1
blocksworld-new_13.yml	OUT OF MEMORY (false)	1095.8883	1095.7439863448963	4096.000000	-1	-1	OUT OF MEMORY (false)	496.672165	496.37108347192407	4096.000000	-1	-1
blocksworld-new_14.yml	OUT OF MEMORY (false)	746.910132	746.7291236603633	4096.000000	-1	-1	OUT OF MEMORY (false)	431.943726	431.62885373830795	4096.000000	-1	-1
blocksworld-new_15.yml	OUT OF MEMORY (false)	771.666082	771.5072126481682	4096.000000	-1	-1	OUT OF MEMORY (false)	485.960994	485.59889895655215	4096.000000	-1	-1
blocksworld-new_16.yml	OUT OF MEMORY (false)	777.307343	777.1926321955398	4096.000000	-1	-1	OUT OF MEMORY (false)	719.491034	719.3605854902416	4096.000000	-1	-1
blocksworld-new_17.yml	OUT OF MEMORY (false)	995.175389	995.0924799302593	4096.000000	-1	-1	OUT OF MEMORY (false)	1009.662928	1009.5816198550165	4096.000000	-1	-1
blocksworld-new_18.yml	OUT OF MEMORY (false)	1490.112099	1490.056328393519	4096.000000	-1	-1	OUT OF MEMORY (false)	1439.377729	1439.4284508042037	4096.000000	-1	-1
blocksworld-new_19.yml	OUT OF MEMORY (false)	1048.642082	1048.3046387713403	4096.000000	-1	-1	OUT OF MEMORY (false)	1032.506154	1032.1298004817218	4096.000000	-1	-1
blocksworld-new_2.yml	true	0.253959	0.2554294215515256	18.903040	0.088277	3	true	0.258378	0.2601671274751425	18.956288	0.086360	3
blocksworld-new_20.yml	OUT OF MEMORY (false)	1349.182687	1348.8351623984054	4096.000000	-1	-1	OUT OF MEMORY (false)	1427.000261	1426.627091102302	4096.000000	-1	-1
blocksworld-new_21.yml	OUT OF MEMORY (false)	1755.432841	1755.3378120642155	4096.000000	-1	-1	OUT OF MEMORY (false)	1753.889325	1753.5466807559133	4096.000000	-1	-1
blocksworld-new_22.yml	OUT OF MEMORY (false)	2125.749658	2125.446546409279	4096.000000	-1	-1	OUT OF MEMORY (false)	2225.879054	2225.555220708251	4096.000000	-1	-1
blocksworld-new_23.yml	OUT OF MEMORY (false)	2674.9557	2674.6437953328714	4096.000000	-1	-1	OUT OF MEMORY (false)	2783.375065	2783.1147228162736	4096.000000	-1	-1
blocksworld-new_24.yml	OUT OF MEMORY (false)	3439.337032	3439.12339035701	4096.000000	-1	-1	OUT OF MEMORY (false)	3406.572473	3406.757029119879	4096.000000	-1	-1
blocksworld-new_25.yml	OUT OF MEMORY (false)	4321.090052	4321.503026870079	4096.000000	-1	-1	OUT OF MEMORY (false)	4265.348891	4265.189267009497	4096.000000	-1	-1
blocksworld-new_26.yml	OUT OF MEMORY (false)	5160.356254	5160.240746158175	4096.000000	-1	-1	OUT OF MEMORY (false)	5163.765364	5163.662951759994	4096.000000	-1	-1
blocksworld-new_27.yml	OUT OF MEMORY (false)	6258.228269	6258.236372652464	4096.000000	-1	-1	OUT OF MEMORY (false)	6320.471105	6320.466208789498	4096.000000	-1	-1
blocksworld-new_28.yml	OUT OF MEMORY (false)	7380.669172	7380.747878601775	4096.000000	-1	-1	OUT OF MEMORY (false)	7531.544957	7531.603958392516	4096.000000	-1	-1
blocksworld-new_29.yml	OUT OF MEMORY (false)	7449.556751	7449.64867774304	4096.000000	-1	-1	OUT OF MEMORY (false)	7502.655527	7503.612160434946	4096.000000	-1	-1
blocksworld-new_3.yml	true	0.545577	0.5473117874935269	19.140608	0.377967	5	true	0.499346	0.5012502428144217	19.156992	0.324758	5
blocksworld-new_30.yml	OUT OF MEMORY (false)	8940.335192	8940.474731643684	4096.000000	-1	-1	OUT OF MEMORY (false)	9069.648491	9069.747313152999	4096.000000	-1	-1
blocksworld-new_31.yml	OUT OF MEMORY (false)	10888.384683	10888.572461518459	4096.000000	-1	-1	OUT OF MEMORY (false)	11083.59506	11083.821207396686	4096.000000	-1	-1
blocksworld-new_32.yml	OUT OF MEMORY (false)	13150.339142	13150.763917815872	4096.000000	-1	-1	OUT OF MEMORY (false)	13328.9942	13329.419979358092	4096.000000	-1	-1
blocksworld-new_33.yml	TIMEOUT (false)	14401.038174	14403.703174272552	464.855040	-1	-1	TIMEOUT (false)	14400.204861	14401.003076089546	464.642048	-1	-1
blocksworld-new_34.yml	TIMEOUT (false)	14400.243858	14401.003037713468	505.069568	-1	-1	TIMEOUT (false)	14400.22892	14401.002574972808	503.300096	-1	-1
blocksworld-new_35.yml	TIMEOUT (false)	14400.223986	14401.002817114815	548.925440	-1	-1	TIMEOUT (false)	14400.21689	14401.00303158164	548.761600	-1	-1
blocksworld-new_36.yml	TIMEOUT (false)	14400.261965	14401.002650801092	594.628608	-1	-1	TIMEOUT (false)	14401.046852	14403.618869023398	594.231296	-1	-1
blocksworld-new_37.yml	TIMEOUT (false)	14400.231304	14401.002865428105	641.638400	-1	-1	TIMEOUT (false)	14400.281823	14401.002683762461	644.526080	-1	-1
blocksworld-new_38.yml	TIMEOUT (false)	14400.236177	14401.00295291096	694.218752	-1	-1	TIMEOUT (false)	14400.318868	14401.0029179696	694.099968	-1	-1
