,domain,instance,solver,type,status,SAT,time,memory,timeout,memoryout,policysize
106,triangle-tireworld,p02,asp1,asp,True,True,6.988352266140282,1.19921875,False,False,16
146,triangle-tireworld,p03,asp1,asp,True,True,612.0987998619676,192.015625,False,False,24
154,triangle-tireworld,p04,asp1,asp,True,True,11263.077812581789,427.44921875,False,False,32
234,triangle-tireworld,p01,asp1,asp,True,True,1.537399800028652,1.359375,False,False,8
322,blocksworld-new,p4,asp1,asp,True,True,4.597654988989234,1.640625,False,False,8
328,blocksworld-new,p3,asp1,asp,True,True,1.2750183679163456,1.75390625,False,False,5
334,blocksworld-new,p2,asp1,asp,True,True,1.37133054388687,1.62109375,False,False,3
340,blocksworld-new,p5,asp1,asp,True,True,58.48189553804696,195.58984375,False,False,13
442,blocksworld-new,p7,asp1,asp,True,True,5295.166033138521,774.96484375,False,False,17
454,blocksworld-new,p8,asp1,asp,True,True,9841.136918387376,1380.21875,False,False,18
460,blocksworld-new,p6,asp1,asp,True,True,110.25074344780296,313.41796875,False,False,13
466,blocksworld-new,p1,asp1,asp,True,True,1.3298971527256072,1.078125,False,False,5
580,beam-walk,p02,asp1,asp,True,True,2.448421095032245,1.2109375,False,False,16
586,beam-walk,p03,asp1,asp,True,True,58.20351883396506,148.18359375,False,False,32
598,beam-walk,p01,asp1,asp,True,True,1.2248622882179916,1.46484375,False,False,8
668,blocksworld-ipc08,p10,asp1,asp,True,True,25.03597084991634,1.08203125,False,False,11
724,blocksworld-ipc08,p05,asp1,asp,True,True,43.00414007389918,181.07421875,False,False,13
732,blocksworld-ipc08,p02,asp1,asp,True,True,10.073024868033826,1.34375,False,False,9
740,blocksworld-ipc08,p03,asp1,asp,True,True,14.51832230668515,1.01171875,False,False,10
748,blocksworld-ipc08,p04,asp1,asp,True,True,63.50559665123001,220.92578125,False,False,14
820,blocksworld-ipc08,p01,asp1,asp,True,True,10.07002332014963,1.6171875,False,False,9
828,blocksworld-ipc08,p06,asp1,asp,True,True,28.152335837949067,1.08203125,False,False,11
844,blocksworld-ipc08,p08,asp1,asp,True,True,56.3705585282296,185.67578125,False,False,13
852,blocksworld-ipc08,p09,asp1,asp,True,True,12.862129457760602,2.65234375,False,False,9
860,blocksworld-ipc08,p07,asp1,asp,True,True,53.57066460791975,186.140625,False,False,13
868,tireworld,p10,asp1,asp,True,True,1.193411337211728,1.6875,False,False,2
874,tireworld,p05,asp1,asp,True,True,1.4859427828341722,1.08203125,False,False,5
880,tireworld,p02,asp1,asp,True,True,1.1082338597625494,0.67578125,False,False,2
886,tireworld,p03,asp1,asp,True,True,1.232203823979944,1.1484375,False,False,5
892,tireworld,p04,asp1,asp,True,True,4.17105164565146,1.2265625,False,False,8
898,tireworld,p13,asp1,asp,True,True,4.202986313961446,0.92578125,False,False,5
904,tireworld,p14,asp1,asp,True,True,31.886243432294577,182.0859375,False,False,11
910,tireworld,p12,asp1,asp,True,True,1.2210052921436727,1.48828125,False,False,2
916,tireworld,p06,asp1,asp,True,True,1.6729891560971737,1.20703125,False,False,5
922,tireworld,p08,asp1,asp,True,True,3.960198170971125,1.0546875,False,False,8
928,tireworld,p07,asp1,asp,True,True,4.833893163129687,1.58203125,False,False,9
945,first-responders-ipc08,p101,asp1,asp,True,True,3.174875157885253,0.91796875,False,False,4
963,first-responders-ipc08,p17,asp1,asp,True,True,1494.053291487042,139.08203125,False,False,17
972,first-responders-ipc08,p10,asp1,asp,True,True,121.30085089197382,93.72265625,False,False,13
981,first-responders-ipc08,p44,asp1,asp,True,True,663.5414907070808,208.4921875,False,False,18
989,first-responders-ipc08,p43,asp1,asp,True,True,2.5274001103825867,1.71484375,False,False,10
