domain,cov_paladinus,cov_prp,time_paladinus,time_prp,mem_paladinus,mem_prp,size_paladinus,size_prp
acrobatics,1.0,1.0,11.18,13.01,55.97,12.45,126.5,127.5
beam-walk,0.82,1.0,1.39,21.18,56.6,18.99,453.22,1488.73
blocksworld-ipc08,0.33,1.0,2.26,1.12,88.17,27.0,12.0,24.4
blocksworld-new,0.15,1.0,5.11,17.45,154.84,264.74,8.0,54.22
chain-of-rooms,0.2,1.0,60.14,0.85,76.75,11.42,42.0,163.0
doors,1.0,0.8,1304.16,1.43,359.96,39.05,17473.73,22.0
earth_observation,0.25,1.0,361.16,0.61,66.14,10.47,30.6,148.45
elevators,0.47,1.0,5.48,0.4,69.3,10.27,19.71,46.53
faults-ipc08,0.85,1.0,10.67,0.31,564.63,10.44,180.51,15.18
first-responders-ipc08,0.3,0.75,53.99,0.77,510.72,12.33,9.03,18.08
islands,0.83,0.5,33.51,52.37,567.54,176.77,6.36,6.87
miner,0.9,0.24,66.61,264.71,825.06,1063.57,22.3,20.42
spiky-tireworld,0.91,0.18,14.9,2519.6,567.1,234.91,25.0,23.0
tireworld,0.8,0.8,0.64,0.3,35.7,10.81,6.92,10.08
tireworld-truck,0.78,0.32,355.53,793.14,805.73,115.09,21.72,23.54
triangle-tireworld,1.0,1.0,12.52,69.54,183.77,238.09,244.0,245.0
zenotravel,0.33,1.0,16.79,3.75,368.12,66.44,15.2,54.6
